id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,isGoal,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2495339749.0,2.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Portimonense,
2495339745.0,2.0,0.0,0.0,1463,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Portimonense,
2495400069.0,1052.0,0.0,0.0,299,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Portimonense,
2495400087.0,667.0,0.0,0.0,1463,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Portimonense,
2495322181.0,1.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamFormation', 'TeamPlayerFormation', 'PlayerPosition', 'InvolvedPlayers', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Benfica,Portimonense,
2495323081.0,1.0,0.0,0.0,1463,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber', 'TeamFormation', 'PlayerPosition', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Benfica,Portimonense,
2495339775.0,3.0,0.0,0.0,1463,52.395,34.476000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Length', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,444818.0,41.37,40.528000000000006,,,,,,,,,,,,False,Benfica,Portimonense,-0.004268819999999998
2495339809.0,4.0,0.0,3.0,1463,41.475,40.188,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,391031.0,31.395,45.016000000000005,,,,,,,,,,,,False,Benfica,Portimonense,-0.00152184
2495339829.0,5.0,0.0,6.0,1463,31.395,45.016000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,422207.0,24.465000000000003,22.78,,,,,,,,,,,,False,Benfica,Portimonense,-0.00109158
2495339857.0,6.0,0.0,9.0,1463,23.94,22.1,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,360107.0,13.440000000000001,31.96,,,,,,,,,,,,False,Benfica,Portimonense,0.0008141799999999994
2495339891.0,7.0,0.0,12.0,1463,13.440000000000001,31.96,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,126293.0,14.28,57.46,,,,,,,,,,,,False,Benfica,Portimonense,-0.002041330000000001
2495339957.0,8.0,0.0,15.0,1463,15.855,57.868,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,422207.0,28.14,62.83200000000001,,,,,,,,,,,,False,Benfica,Portimonense,0.0009907000000000006
2495339979.0,9.0,0.0,22.0,1463,56.49,59.772000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'Length', 'Angle', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,297006.0,63.21000000000001,45.696000000000005,,,,,,,,,,,,True,Benfica,Portimonense,0.004615360000000002
2495340005.0,10.0,0.0,23.0,1463,63.21000000000001,45.696000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,432110.0,60.165,48.688,,,,,,,,,,,,False,Benfica,Portimonense,-0.002495360000000002
2495340077.0,11.0,0.0,24.0,1463,60.165,48.688,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Longball', 'Chipped', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,391031.0,73.185,6.868,,,,,,,,,,,,False,Benfica,Portimonense,0.004365330000000001
2495340095.0,12.0,0.0,31.0,1463,73.29,7.412000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,308886.0,71.715,12.716000000000001,,,,,,,,,,,,False,Benfica,Portimonense,0.0027939199999999983
2495340137.0,13.0,0.0,32.0,1463,71.715,12.716000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Length', 'StandingSave', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,404051.0,90.19500000000001,8.5,,,,,,,,,,,,True,Benfica,Portimonense,0.010835510000000003
2495340163.0,3.0,0.0,34.0,299,12.39,60.11200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']",[55],False,107252.0,,,,,,,,,,,,3.0,Alejandro Grimaldo,,Benfica,Portimonense,
2495340157.0,14.0,0.0,34.0,1463,92.61000000000001,7.888,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 54]",True,308886.0,,,,,,,,,,,,,,,Benfica,Portimonense,
