id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2442247655.0,2.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Arouca,
2442247671.0,2.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Arouca,
2442304537.0,1064.0,0.0,0.0,299,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Arouca,
2442304623.0,620.0,0.0,0.0,5948,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Arouca,
2442210573.0,1.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Benfica,Arouca,
2442212121.0,1.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'JerseyNumber', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Benfica,Arouca,
2442247705.0,3.0,0.0,0.0,5948,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,315692.0,32.445,26.248,,,,,,,,,,,,False,Benfica,Arouca,-0.0035222199999999995
2442247723.0,4.0,0.0,1.0,5948,32.34,26.248,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,347640.0,33.39,4.760000000000001,,,,,,,,,,,,False,Benfica,Arouca,-0.0015471700000000005
2442247739.0,5.0,0.0,4.0,5948,33.705000000000005,4.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,383609.0,43.155,3.128,,,,,,,,,,,,False,Benfica,Arouca,0.0014860800000000007
2442247761.0,7.0,0.0,5.0,5948,34.125,6.800000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,383609.0,,,,,,,,,,,,,,,Benfica,Arouca,
2442247751.0,6.0,0.0,5.0,5948,43.575,3.128,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,428999.0,33.915,6.256,,,,,,,,,,,,False,Benfica,Arouca,-0.0014860800000000007
2442247767.0,3.0,0.0,7.0,299,42.0,51.136,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,376916.0,,,,,,,,,,,,91.0,Morato,,Benfica,Arouca,
2442247783.0,4.0,0.0,8.0,299,57.435,48.55200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,125476.0,,,,,,,,,,,,20.0,João Mário,,Benfica,Arouca,
2442247819.0,5.0,0.0,8.0,299,57.435,48.55200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,125476.0,61.425000000000004,41.82,,,,,,,,,,20.0,João Mário,False,Benfica,Arouca,0.0031147400000000013
,,0.0,8.0,299,61.425000000000004,41.82,,,Carry,,,,,135127.0,64.995,43.384,,,,,,,,,,27.0,Rafa,False,Benfica,Arouca,-0.0006193799999999992
2442247827.0,6.0,0.0,9.0,299,64.995,43.384,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 70]",True,135127.0,,,,,,,,,,,,27.0,Rafa,,Benfica,Arouca,
2442247837.0,8.0,0.0,9.0,5948,40.005,24.616000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Defensive', 'Zone', 'StandingSave', 'OppositeRelatedEvent']","[91, 142]",True,444507.0,,,,,,,,,,,,,,,Benfica,Arouca,
2442247895.0,7.0,0.0,11.0,299,65.415,43.656000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 54]",True,125476.0,,,,,,,,,,,,20.0,João Mário,,Benfica,Arouca,
2442247855.0,9.0,0.0,11.0,5948,39.58500000000001,24.344,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,444507.0,,,,,,,,,,,,,,,Benfica,Arouca,
2442247911.0,8.0,0.0,14.0,299,72.87,45.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,125476.0,70.98,49.980000000000004,,,,,,,,,,20.0,João Mário,False,Benfica,Arouca,0.0
2442247925.0,9.0,0.0,15.0,299,70.98,49.096000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'StandingSave', 'Chipped', 'PassEndY', 'Angle', 'Length']","[91, 120, 29, 124, 36, 38, 217, 218]",True,369430.0,88.2,46.308,,,,,,,,,,13.0,Enzo Fernández,True,Benfica,Arouca,
2442248113.0,10.0,0.0,16.0,299,85.26,39.57600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Offensive', 'Foul', 'Zone']","[91, 63]",True,395802.0,,,,,,,,,,,,88.0,Gonçalo Ramos,,Benfica,Arouca,
2442247969.0,10.0,0.0,16.0,5948,19.740000000000002,28.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Foul', 'Defensive']",[64],False,382364.0,,,,,,,,,,,,,,,Benfica,Arouca,
2442248289.0,11.0,0.0,20.0,5948,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Card,Successful,"['Yellow', 'Foul']",[65],False,382364.0,,,"{'value': 31, 'displayName': 'Yellow'}",,,,,,,,,,,,Benfica,Arouca,
2442249835.0,11.0,2.0,28.0,299,84.63,40.188,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['Zone', 'GoalMouthZ', 'GoalMouthY', 'StandingSave', 'OutOfBoxCentre', 'HighLeft', 'OppositeRelatedEvent', 'Blocked', 'RightFoot', 'DirectFreekick', 'BlockedX', 'BlockedY']","[91, 10, 2, 5, 11, 12]",True,369430.0,,,,87.7,56.3,25.0,52.6,True,,,,13.0,Enzo Fernández,,Benfica,Arouca,
2442249841.0,12.0,2.0,29.0,5948,12.600000000000001,30.532,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['OppositeRelatedEvent', 'OutfielderBlock', 'Zone', 'OtherBodyPart']","[91, 58]",True,382364.0,,,,,,,,,,,,,,,Benfica,Arouca,
2442249905.0,12.0,2.0,30.0,299,76.65,51.816,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 70]",True,369430.0,,,,,,,,,,,,13.0,Enzo Fernández,,Benfica,Arouca,
2442249939.0,13.0,2.0,32.0,5948,28.35,16.184,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Defensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 143]",True,428999.0,,,,,,,,,,,,,,,Benfica,Arouca,
