id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2519429169.0,2.0,0.0,299,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519429181.0,2.0,0.0,264,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519508405.0,830.0,0.0,264,,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519509637.0,938.0,0.0,299,,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519365207.0,1.0,0.0,264,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers', 'PlayerPosition']",[],False,0.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519366623.0,1.0,0.0,299,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'CaptainPlayerId', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519429241.0,3.0,0.0,299,395802.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Angle', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,0.0,45.15,31.688000000000002,,,,,,,,,,88.0,Gonçalo Ramos,False,Maritimo,Benfica,0.0
2519429249.0,4.0,0.0,299,361961.0,47.04,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,0.0,52.185,34.476000000000006,,,,,,,,,,22.0,Chiquinho,False,Maritimo,Benfica,0.0
,,0.0,299,361961.0,45.15,31.688000000000002,,,Carry,,,,,0.0,47.04,34.0,,,,,,,,,,22.0,Chiquinho,False,Maritimo,Benfica,0.0
2519429277.0,5.0,0.0,299,395802.0,51.765,34.408,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,2.0,58.695,7.48,,,,,,,,,,88.0,Gonçalo Ramos,False,Maritimo,Benfica,-0.0001100200000000006
