id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2549064531.0,5.0,0.0,16.0,297,43.68000000000001,8.024000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Defensive', 'Zone']","[91, 143]",True,421893.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549065529.0,33.0,0.0,16.0,297,38.010000000000005,9.860000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421893.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549064553.0,6.0,0.0,17.0,297,41.895,7.888,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,421893.0,49.77,2.9920000000000004,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0012207699999999995
2549064557.0,7.0,0.0,19.0,297,49.77,2.72,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[91, 70]",True,384430.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549064565.0,10.0,0.0,19.0,9509,55.230000000000004,65.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'OppositeRelatedEvent', 'StandingSave', 'Defensive']","[91, 143]",True,444766.0,,,,,,,,,,,,,5.0,Leonardo Lelo,,Porto,Casa Pia AC,
2549064643.0,9.0,0.0,34.0,297,51.135000000000005,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Longball', 'PassEndY', 'ThrowIn', 'PassEndX', 'Length', 'Angle']","[91, 212, 35, 37, 215]",True,338791.0,29.505000000000003,3.808,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0027068500000000002
2549064673.0,10.0,0.0,37.0,297,24.57,8.228,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Longball', 'Zone', 'Angle', 'Length', 'StandingSave']","[91, 117, 127, 35, 37, 215, 218]",True,322771.0,23.730000000000004,42.432,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.00171695
2549064687.0,11.0,0.0,42.0,297,30.87,47.668,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,10105.0,42.63,64.87200000000001,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.00015804999999999986
2549064699.0,12.0,0.0,44.0,297,42.63,64.87200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,132273.0,43.155,57.93600000000001,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0008845199999999998
2549064759.0,13.0,0.0,45.0,297,43.155,57.868,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'StandingSave', 'Length', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,351744.0,29.294999999999998,57.120000000000005,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0015522900000000013
