id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2467068869.0,2.0,0.0,0.0,9509,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Casa Pia,
2467068875.0,2.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Casa Pia,
2467096431.0,935.0,0.0,0.0,264,0.0,0.0,15.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Casa Pia,
2467096437.0,738.0,0.0,0.0,9509,0.0,0.0,15.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Casa Pia,
2467051267.0,1.0,0.0,0.0,9509,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamFormation', 'TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Maritimo,Casa Pia,
2467051677.0,1.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamPlayerFormation', 'TeamFormation', 'InvolvedPlayers', 'JerseyNumber', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Maritimo,Casa Pia,
2467068909.0,3.0,0.0,1.0,264,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,241843.0,34.65,40.188,,,,,,,,,,,,False,Maritimo,Casa Pia,-0.005571519999999998
2467068927.0,4.0,0.0,5.0,264,34.65,40.188,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,137128.0,39.69,63.648,,,,,,,,,,,,False,Maritimo,Casa Pia,-6.108999999999976e-05
2467068957.0,5.0,0.0,7.0,264,39.69,63.648,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,329366.0,21.945,53.65200000000001,,,,,,,,,,,,False,Maritimo,Casa Pia,-0.0018388500000000012
2467068967.0,6.0,0.0,11.0,264,21.945,53.65200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Longball', 'Angle', 'Length', 'PassEndY']","[91, 117, 127, 36, 38, 215, 218]",True,345713.0,22.575,21.556,,,,,,,,,,,,False,Maritimo,Casa Pia,0.0005892200000000014
