id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2445515823.0,9.0,0.0,53.0,9509,57.330000000000005,65.552,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,444768.0,,,,,,,,,,,,7.0,Saviour Godwin,,Casa Pia,Benfica,
2445515811.0,16.0,0.0,53.0,299,47.67,2.4480000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 54]",True,119542.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445515841.0,17.0,0.0,55.0,299,50.08500000000001,0.8840000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,119542.0,51.03,4.216,,,,,,,,,,,,False,Casa Pia,Benfica,0.0
2445515857.0,18.0,0.0,56.0,299,53.13,3.5360000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,369712.0,61.214999999999996,7.276,,,,,,,,,,,,False,Casa Pia,Benfica,0.002714640000000001
2445515865.0,19.0,0.0,58.0,299,58.905,11.22,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']","[91, 53]",True,135127.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445515879.0,10.0,0.0,58.0,9509,46.095,56.78,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 143]",True,322631.0,,,,,,,,,,,,8.0,Ângelo Neto,,Casa Pia,Benfica,
2445515907.0,11.0,0.0,59.0,9509,43.785000000000004,57.868,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,444766.0,,,,,,,,,,,,5.0,Leonardo Lelo,,Casa Pia,Benfica,
,,0.0,59.0,9509,43.785000000000004,57.868,,,Carry,,,,,444766.0,42.525,61.336000000000006,,,,,,,,,,5.0,Leonardo Lelo,False,Casa Pia,Benfica,-0.00258273
2445515917.0,12.0,1.0,0.0,9509,42.525,61.336000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone', 'StandingSave']","[91, 53]",True,444766.0,,,,,,,,,,,,5.0,Leonardo Lelo,,Casa Pia,Benfica,
2445515909.0,20.0,1.0,1.0,299,62.475,6.664000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['StandingSave', 'Defensive', 'Zone', 'OppositeRelatedEvent']","[91, 142]",True,395802.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445515933.0,21.0,1.0,2.0,299,61.32,4.216,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,119542.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445515997.0,22.0,1.0,4.0,299,69.09,2.176,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,119542.0,69.3,8.092,,,,,,,,,,,,False,Casa Pia,Benfica,0.0
2445516003.0,23.0,1.0,6.0,299,67.515,7.208,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,395802.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445516517.0,28.0,1.0,6.0,299,68.04,16.932,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,343029.0,68.565,20.400000000000002,,,,,,,,,,,,False,Casa Pia,Benfica,0.0006478500000000019
2445516043.0,24.0,1.0,7.0,299,66.15,4.760000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Length', 'Zone', 'Angle', 'PassEndY']","[91, 120, 29, 36, 37, 217, 218]",True,343029.0,70.98,6.868,,,,,,,,,,,,False,Casa Pia,Benfica,
