id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2516610477.0,13.0,0.0,9509,120734.0,27.51,39.984,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,53.0,38.955000000000005,46.03600000000001,,,,,,,,,,,13.0,Vasco Fernandes,False,Casa Pia AC,Pacos de Ferreira,0.0013679799999999995
2516610515.0,14.0,0.0,9509,105745.0,39.375,46.444,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,55.0,56.7,65.212,,,,,,,,,,,27.0,Afonso Taira,False,Casa Pia AC,Pacos de Ferreira,0.0020442199999999994
,,0.0,9509,444768.0,56.7,65.212,,,Carry,,,,,55.0,66.045,60.656000000000006,,,,,,,,,,,7.0,Saviour Godwin,True,Casa Pia AC,Pacos de Ferreira,0.0027146399999999973
2516610525.0,13.0,0.0,786,110341.0,46.935,5.916,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,57.0,,,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516610559.0,15.0,0.0,9509,444768.0,58.065,62.084,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 54]",True,57.0,,,,,,,,,,,,,7.0,Saviour Godwin,,Casa Pia AC,Pacos de Ferreira,
2516610563.0,16.0,0.0,9509,444768.0,66.045,60.656000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Foul', 'OppositeRelatedEvent', 'Offensive']","[91, 63]",True,59.0,,,,,,,,,,,,,7.0,Saviour Godwin,,Casa Pia AC,Pacos de Ferreira,
2516610663.0,15.0,0.0,786,407139.0,38.955000000000005,7.344000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'Defensive', 'OppositeRelatedEvent', 'Foul', 'Zone']",[64],False,59.0,,,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516620933.0,11008.0,0.0,9509,436559.0,59.85,42.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,,99.0,Clayton,,Casa Pia AC,Pacos de Ferreira,
2516611247.0,18.0,1.0,9509,444766.0,67.72500000000001,60.31600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'FreekickTaken', 'StandingSave', 'Length', 'Angle']","[91, 119, 117, 30, 132, 35, 38, 216, 218]",True,38.0,56.595,55.284,,,,,,,,,,,5.0,Leonardo Lelo,False,Casa Pia AC,Pacos de Ferreira,-0.0013324699999999953
,,1.0,9509,105686.0,56.595,55.284,,,Carry,,,,,38.0,61.53,54.604,,,,,,,,,,,19.0,Nermin Zolotic,False,Casa Pia AC,Pacos de Ferreira,0.0025853399999999985
2516611291.0,19.0,1.0,9509,105686.0,61.53,54.604,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,44.0,67.62,38.48800000000001,,,,,,,,,,,19.0,Nermin Zolotic,True,Casa Pia AC,Pacos de Ferreira,0.0012672300000000011
,,1.0,9509,105745.0,67.62,38.48800000000001,,,Carry,,,,,44.0,69.92999999999999,35.428000000000004,,,,,,,,,,,27.0,Afonso Taira,False,Casa Pia AC,Pacos de Ferreira,0.0038807899999999985
2516611299.0,20.0,1.0,9509,105745.0,69.92999999999999,35.428000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'Chipped', 'PassEndY', 'Length']","[91, 120, 29, 124, 36, 37, 217, 218]",True,46.0,84.21000000000001,36.04,,,,,,,,,,,27.0,Afonso Taira,True,Casa Pia AC,Pacos de Ferreira,
2516611321.0,17.0,1.0,786,423078.0,21.630000000000003,30.94,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Head', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 94, 95, 57, 215]",True,47.0,30.135,34.612,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516611331.0,18.0,1.0,786,422245.0,30.135,34.612,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,48.0,,,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516611353.0,20.0,1.0,786,408941.0,34.964999999999996,30.94,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,49.0,,,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516611347.0,19.0,1.0,786,422245.0,30.135,34.612,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,49.0,34.964999999999996,30.94,,,,,,,,,,,,,False,Casa Pia AC,Pacos de Ferreira,0.0
2516611341.0,21.0,1.0,9509,105745.0,70.56,32.912,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,50.0,,,,,,,,,,,,,27.0,Afonso Taira,,Casa Pia AC,Pacos de Ferreira,
2516611393.0,22.0,1.0,9509,105745.0,70.98,32.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,51.0,73.71000000000001,13.532,,,,,,,,,,,27.0,Afonso Taira,False,Casa Pia AC,Pacos de Ferreira,0.00016371999999999914
2516611435.0,23.0,1.0,9509,381793.0,72.55499999999999,13.532,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,55.0,62.685,14.144000000000002,,,,,,,,,,,42.0,Lucas Soares,False,Casa Pia AC,Pacos de Ferreira,-0.005311739999999999
