id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388416417.0,6.0,0.0,17.0,251.0,75.705,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Length', 'PassEndY', 'ThrowIn', 'Angle', 'PassEndX', 'Zone']","[91, 212, 36, 37, 217]",True,271550.0,97.44,4.556,,,,,,,,,2.0,Rafael Ramos,True,Braga,Santa Clara,0.016704609999999998
2388416433.0,7.0,0.0,19.0,251.0,97.44,4.556,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,279531.0,81.375,2.3800000000000003,,,,,,,,,23.0,Crysan,False,Braga,Santa Clara,-0.010362779999999999
,,0.0,19.0,,81.375,2.3800000000000003,,,Carry,,,,,271550.0,91.245,3.196,,,,,,,,,2.0,Rafael Ramos,True,Braga,Santa Clara,0.007287600000000002
2388416441.0,8.0,0.0,20.0,251.0,91.245,3.196,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'Cross', 'PassEndX', 'RightFoot', 'Length', 'StandingSave', 'Zone']","[91, 137, 126, 36, 37, 217, 218]",True,271550.0,94.185,20.06,,,,,,,,,2.0,Rafael Ramos,True,Braga,Santa Clara,0.02006066
2388416449.0,5.0,0.0,21.0,288.0,12.18,48.55200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Length', 'Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 94, 95, 216]",True,35405.0,36.54,68.0,,,,,,,,,,,,Braga,Santa Clara,
2388416489.0,10.0,0.0,28.0,251.0,60.27,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Longball', 'ThrowIn', 'PassEndX', 'PassEndY', 'Angle']","[91, 212, 35, 37, 216]",True,422199.0,40.74,11.56,,,,,,,,,4.0,Kennedy Boateng,False,Braga,Santa Clara,-0.002588769999999999
,,0.0,28.0,,40.74,11.56,,,Carry,,,,,274646.0,35.910000000000004,24.14,,,,,,,,,17.0,Cristian Tassano,False,Braga,Santa Clara,0.0005445499999999995
2388416499.0,11.0,0.0,32.0,251.0,35.910000000000004,24.14,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,274646.0,48.405,24.888,,,,,,,,,17.0,Cristian Tassano,False,Braga,Santa Clara,0.003186659999999999
2388416503.0,12.0,0.0,33.0,251.0,48.405,24.888,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'LayOff', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,409279.0,34.86000000000001,27.812000000000005,,,,,,,,,25.0,Hidemasa Morita,False,Braga,Santa Clara,-0.0029675199999999995
2388416527.0,13.0,0.0,37.0,251.0,35.07,27.880000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,274646.0,32.865,7.276000000000002,,,,,,,,,17.0,Cristian Tassano,False,Braga,Santa Clara,-0.0015471700000000005
2388416581.0,14.0,0.0,38.0,251.0,32.445,7.276000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,422199.0,8.505000000000003,27.200000000000006,,,,,,,,,4.0,Kennedy Boateng,False,Braga,Santa Clara,-0.00036602999999999983
,,0.0,38.0,,8.505000000000003,27.200000000000006,,,Carry,,,,,361916.0,14.700000000000001,22.848000000000003,,,,,,,,,99.0,Marco Pereira,False,Braga,Santa Clara,0.0003668899999999999
2388416607.0,15.0,0.0,50.0,251.0,14.700000000000001,22.848000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,361916.0,26.145,51.000000000000014,,,,,,,,,99.0,Marco Pereira,False,Braga,Santa Clara,-0.0003536300000000006
,,0.0,50.0,,26.145,51.000000000000014,,,Carry,,,,,274646.0,28.77,52.156000000000006,,,,,,,,,17.0,Cristian Tassano,False,Braga,Santa Clara,0.0011710800000000014
2388416623.0,16.0,0.0,58.0,251.0,28.77,52.156000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,274646.0,38.85,43.724000000000004,,,,,,,,,17.0,Cristian Tassano,False,Braga,Santa Clara,0.002096839999999999
,,0.0,58.0,,38.85,43.724000000000004,,,Carry,,,,,409279.0,42.945,36.720000000000006,,,,,,,,,25.0,Hidemasa Morita,False,Braga,Santa Clara,-6.527999999999916e-05
2388416621.0,7.0,0.0,59.0,288.0,66.36,28.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']",[55],False,35405.0,,,,,,,,,,,,,,Braga,Santa Clara,
2388416637.0,17.0,0.0,59.0,251.0,38.64,39.57600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Offensive']","[91, 54]",True,409279.0,,,,,,,,,,,25.0,Hidemasa Morita,,Braga,Santa Clara,
2388416675.0,18.0,1.0,2.0,251.0,42.945,36.720000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Chipped', 'Zone', 'Longball', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 120, 124, 128, 36, 37, 217, 218]",True,409279.0,89.98500000000003,61.2,,,,,,,,,25.0,Hidemasa Morita,True,Braga,Santa Clara,0.022224260000000003
2388416677.0,8.0,1.0,6.0,288.0,12.075,2.788,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421975.0,,,,,,,,,,,,,,Braga,Santa Clara,
2388416693.0,9.0,1.0,7.0,288.0,12.075000000000001,2.788,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Longball', 'Angle', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 127, 36, 37, 215, 218]",True,421975.0,31.185000000000002,6.392,,,,,,,,,,,False,Braga,Santa Clara,0.00198043
2388416697.0,10.0,1.0,11.0,288.0,26.145,10.472000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,283362.0,13.86,16.388,,,,,,,,,,,False,Braga,Santa Clara,-0.0006379300000000001
2388416713.0,11.0,1.0,13.0,288.0,14.07,16.456,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,395940.0,2.415,32.300000000000004,,,,,,,,,,,False,Braga,Santa Clara,0.0006246700000000008
2388416717.0,12.0,1.0,15.0,288.0,2.415,32.708000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,296521.0,6.195,52.156000000000006,,,,,,,,,,,False,Braga,Santa Clara,-0.0019098400000000003
2388416727.0,13.0,1.0,17.0,288.0,5.04,51.952000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,361852.0,16.38,64.60000000000001,,,,,,,,,,,False,Braga,Santa Clara,0.0002954400000000001
2388416733.0,14.0,1.0,21.0,288.0,13.965000000000003,63.17200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,402823.0,26.775000000000002,44.47200000000001,,,,,,,,,,,False,Braga,Santa Clara,0.003308460000000001
2388416749.0,15.0,1.0,22.0,288.0,26.775000000000002,44.47200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,381792.0,23.52,51.000000000000014,,,,,,,,,,,False,Braga,Santa Clara,-0.0005892200000000014
2388861857.0,981.0,1.0,24.0,288.0,27.825000000000006,48.21200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,35405.0,19.215,18.632,,,,,,,,,,,False,Braga,Santa Clara,-0.00109158
2388416783.0,16.0,1.0,28.0,288.0,19.53,17.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,395940.0,31.185000000000002,1.972,,,,,,,,,,,False,Braga,Santa Clara,0.0003527700000000005
