id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2350061273.0,2.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2350061269.0,3.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2350137847.0,718.0,0.0,0.0,292.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2350137877.0,836.0,0.0,0.0,251.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2351120513.0,1729.0,0.0,0.0,251.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2351120547.0,1202.0,0.0,0.0,292.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2350012237.0,1.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'PlayerPosition', 'JerseyNumber', 'CaptainPlayerId', 'TeamFormation']",[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2350013501.0,1.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber', 'CaptainPlayerId', 'TeamFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,Belenenses SAD,Santa Clara,
2350061301.0,4.0,0.0,0.0,251.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[90, 116, 29, 34, 37, 215, 217]",True,401125.0,48.825,31.892000000000007,,,,,,,,,26.0,Jean Patric,False,Belenenses SAD,Santa Clara,0.0
2350061337.0,5.0,0.0,1.0,251.0,48.825,31.892000000000007,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,279478.0,38.43,48.48400000000001,,,,,,,,,10.0,Lincoln,False,Belenenses SAD,Santa Clara,-0.00215424
2350061361.0,6.0,0.0,4.0,251.0,38.43,48.48400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'Zone', 'Angle', 'PassEndY']","[90, 116, 29, 35, 37, 215, 217]",True,409279.0,39.48,28.492000000000004,,,,,,,,,25.0,Hidemasa Morita,False,Belenenses SAD,Santa Clara,-6.527999999999916e-05
2350061405.0,7.0,0.0,7.0,251.0,39.48,28.492000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,101748.0,45.99,5.236000000000001,,,,,,,,,8.0,Anderson Carvalho,False,Belenenses SAD,Santa Clara,-0.00014302000000000065
2350061421.0,8.0,0.0,10.0,251.0,45.99,5.236000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Zone']","[90, 118, 116, 29, 35, 36, 215, 217]",True,92825.0,55.44,17.612000000000005,,,,,,,,,95.0,Pierre Sagna,False,Belenenses SAD,Santa Clara,0.0043725199999999995
2350061425.0,9.0,0.0,11.0,251.0,55.44,17.612000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone']","[90, 116, 29, 34, 37, 215, 217]",True,281935.0,46.83000000000001,6.1880000000000015,,,,,,,,,7.0,Allano,False,Belenenses SAD,Santa Clara,-0.0043725199999999995
2350061497.0,10.0,0.0,12.0,251.0,46.83000000000001,6.1880000000000015,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'Longball']","[90, 116, 126, 34, 36, 214, 217]",True,92825.0,32.97,45.016000000000005,,,,,,,,,95.0,Pierre Sagna,False,Belenenses SAD,Santa Clara,-0.0013788199999999994
2350061509.0,11.0,0.0,16.0,251.0,32.76,44.47200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave']","[90, 116, 29, 35, 37, 215, 217]",True,234374.0,40.215,43.248000000000005,,,,,,,,,5.0,João Afonso,False,Belenenses SAD,Santa Clara,0.0015871199999999992
2350061545.0,12.0,0.0,19.0,251.0,40.215,43.248000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[90, 116, 29, 34, 37, 214, 217]",True,409279.0,30.975,16.66,,,,,,,,,25.0,Hidemasa Morita,False,Belenenses SAD,Santa Clara,-0.002096839999999999
2350061555.0,13.0,0.0,22.0,251.0,30.975,16.66,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle', 'StandingSave']","[90, 116, 29, 35, 37, 215, 217]",True,274646.0,46.515,4.42,,,,,,,,,17.0,Cristian Tassano,False,Belenenses SAD,Santa Clara,0.0018885399999999993
2350061579.0,14.0,0.0,24.0,251.0,46.515,4.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,92825.0,46.410000000000004,21.352,,,,,,,,,95.0,Pierre Sagna,False,Belenenses SAD,Santa Clara,0.0018078399999999998
2350061601.0,15.0,0.0,27.0,251.0,46.410000000000004,21.352,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[90, 116, 29, 35, 37, 215, 217]",True,409279.0,48.195,10.472000000000001,,,,,,,,,25.0,Hidemasa Morita,False,Belenenses SAD,Santa Clara,-0.0004458799999999992
2350061639.0,16.0,0.0,28.0,251.0,48.195,10.472000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[90, 116, 29, 34, 36, 214, 217]",True,92825.0,30.135,31.484000000000005,,,,,,,,,95.0,Pierre Sagna,False,Belenenses SAD,Santa Clara,-0.0025216400000000003
,,0.0,28.0,,30.135,31.484000000000005,,,Carry,,,,,101748.0,30.555000000000007,33.32,,,,,,,,,8.0,Anderson Carvalho,False,Belenenses SAD,Santa Clara,0.0
2350061689.0,17.0,0.0,32.0,251.0,30.555000000000007,33.32,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'Angle', 'Zone', 'PassEndY']","[90, 116, 29, 35, 36, 214, 217]",True,101748.0,33.495,49.57200000000001,,,,,,,,,8.0,Anderson Carvalho,False,Belenenses SAD,Santa Clara,-0.0002191399999999996
,,0.0,32.0,,33.495,49.57200000000001,,,Carry,,,,,234374.0,35.07,51.136,,,,,,,,,5.0,João Afonso,False,Belenenses SAD,Santa Clara,-0.00050972
2350061703.0,18.0,0.0,38.0,251.0,35.07,51.136,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'Zone', 'Length', 'PassEndY']","[90, 116, 29, 35, 37, 215, 217]",True,234374.0,43.26000000000001,44.26800000000001,,,,,,,,,5.0,João Afonso,False,Belenenses SAD,Santa Clara,0.002096839999999999
2350061761.0,19.0,0.0,38.0,251.0,43.26000000000001,44.26800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Zone', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,409279.0,30.240000000000002,31.076000000000004,,,,,,,,,25.0,Hidemasa Morita,False,Belenenses SAD,Santa Clara,-0.0013679799999999995
2350061789.0,20.0,0.0,41.0,251.0,30.240000000000002,31.076000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,101748.0,38.010000000000005,14.416000000000002,,,,,,,,,8.0,Anderson Carvalho,False,Belenenses SAD,Santa Clara,0.00082343
2350061815.0,21.0,0.0,44.0,251.0,38.010000000000005,14.416000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'Zone']","[90, 118, 116, 29, 35, 37, 215, 217]",True,274646.0,57.435,3.944,,,,,,,,,17.0,Cristian Tassano,False,Belenenses SAD,Santa Clara,0.002588769999999999
2350061839.0,22.0,0.0,46.0,251.0,57.435,3.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[90, 118, 116, 29, 35, 36, 215, 217]",True,92825.0,59.535000000000004,11.968000000000002,,,,,,,,,95.0,Pierre Sagna,False,Belenenses SAD,Santa Clara,0.001382170000000002
2350061851.0,23.0,0.0,47.0,251.0,59.535000000000004,11.968000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length', 'StandingSave']","[90, 116, 29, 34, 37, 215, 217]",True,281935.0,49.35,3.74,,,,,,,,,7.0,Allano,False,Belenenses SAD,Santa Clara,-0.003634690000000001
2350061857.0,24.0,0.0,48.0,251.0,49.35,3.74,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,92825.0,45.15,12.308000000000002,,,,,,,,,95.0,Pierre Sagna,False,Belenenses SAD,Santa Clara,-0.00033624999999999974
