id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2345625527.0,2.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2345625555.0,2.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2345815633.0,786.0,0.0,0.0,251.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2345815647.0,624.0,0.0,0.0,935.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2345544233.0,1.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2345545253.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2345625581.0,3.0,0.0,0.0,251.0,52.605000000000004,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'Length', 'PassEndX', 'Angle']","[90, 116, 29, 34, 36, 215, 217]",True,401125.0,50.82,35.70000000000001,,,,,,,,,,26.0,Jean Patric,False,Santa Clara,Famalicao,0.0
2345625643.0,4.0,0.0,1.0,251.0,50.82,36.65200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Length', 'PassEndY', 'Angle', 'PassEndX']","[90, 118, 116, 29, 35, 36, 215, 217]",True,279478.0,59.01000000000001,44.132000000000005,,,,,,,,,,10.0,Lincoln,False,Santa Clara,Famalicao,0.0020099799999999998
2345625685.0,5.0,0.0,2.0,251.0,59.95500000000001,44.744,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'Zone']","[90, 118, 116, 29, 34, 37, 215, 217]",True,422200.0,56.38500000000001,40.93600000000001,,,,,,,,,,98.0,Ricardinho,False,Santa Clara,Famalicao,3.931999999999894e-05
2345625815.0,6.0,0.0,3.0,251.0,56.38500000000001,40.93600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'StandingSave', 'Length', 'PassEndX']","[90, 118, 116, 29, 35, 36, 215, 217]",True,279478.0,58.695,65.28,,,,,,,,,,10.0,Lincoln,False,Santa Clara,Famalicao,-0.0021593199999999993
,,0.0,3.0,,58.695,65.28,,,Carry,,,,,130450.0,61.005,65.89200000000001,,,,,,,,,,6.0,Mansur,False,Santa Clara,Famalicao,0.0
