id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2396414665.0,2.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396414675.0,2.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396509671.0,778.0,0.0,0.0,292.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396509683.0,907.0,0.0,0.0,251.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396378397.0,1.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'InvolvedPlayers', 'JerseyNumber', 'TeamFormation', 'TeamPlayerFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396380181.0,1.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396414701.0,3.0,0.0,0.0,251.0,52.395,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,409279.0,39.585000000000015,38.692,,,,,,,,,25.0,Hidemasa Morita,False,Santa Clara,Belenenses SAD,-0.002219519999999999
,,0.0,0.0,,39.585000000000015,38.692,,,Carry,,,,,279478.0,44.20500000000001,37.33200000000001,,,,,,,,,10.0,Lincoln,False,Santa Clara,Belenenses SAD,0.0
2396414741.0,4.0,0.0,2.0,251.0,44.20500000000001,37.33200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'PassEndX', 'Chipped', 'Longball']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,279478.0,80.115,2.72,,,,,,,,,10.0,Lincoln,True,Santa Clara,Belenenses SAD,0.01493666
2396414761.0,5.0,0.0,5.0,251.0,80.115,2.72,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'HeadPass', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle']","[91, 120, 29, 139, 36, 37, 217, 218]",True,279531.0,83.58,7.004000000000001,,,,,,,,,23.0,Crysan,False,Santa Clara,Belenenses SAD,0.0
2396414749.0,3.0,0.0,6.0,292.0,26.145,61.336000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,386978.0,,,,,,,,,,,,,,Santa Clara,Belenenses SAD,
2396414815.0,4.0,0.0,7.0,292.0,26.145,61.94800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,386978.0,15.855,48.21200000000001,,,,,,,,,,,False,Santa Clara,Belenenses SAD,0.0013289100000000009
