id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2393107765.0,2.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393107743.0,2.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393276167.0,779.0,0.0,0.0,251.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393276233.0,853.0,0.0,0.0,935.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393026657.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393028723.0,1.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'InvolvedPlayers', 'CaptainPlayerId', 'TeamFormation', 'JerseyNumber', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393107889.0,3.0,0.0,0.0,251.0,52.29,33.93200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,409279.0,38.010000000000005,39.1,,,,,,,,,25.0,Hidemasa Morita,False,Famalicao,Santa Clara,-0.002219519999999999
2393107911.0,4.0,0.0,2.0,251.0,38.010000000000005,39.1,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Chipped', 'StandingSave', 'PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 120, 124, 128, 36, 38, 217, 218]",True,279478.0,86.205,9.996000000000002,,,,,,,,,10.0,Lincoln,True,Famalicao,Santa Clara,0.01690626
2393108015.0,3.0,0.0,4.0,935.0,22.995,59.976000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'HeadPass', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,243271.0,30.555000000000007,63.24,,,,,,,,,,,False,Famalicao,Santa Clara,0.0013280500000000008
2393108087.0,5.0,0.0,6.0,251.0,70.77000000000001,4.6240000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,271550.0,79.8,2.788,,,,,,,,,2.0,Rafael Ramos,False,Famalicao,Santa Clara,0.00634183
2393108137.0,6.0,0.0,9.0,251.0,79.8,2.788,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,279531.0,72.135,4.6240000000000006,,,,,,,,,23.0,Crysan,False,Famalicao,Santa Clara,-0.00634183
2393108215.0,7.0,0.0,10.0,251.0,72.135,4.6240000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 35, 37, 216, 218]",True,271550.0,63.735000000000014,11.356,,,,,,,,,2.0,Rafael Ramos,False,Famalicao,Santa Clara,-0.0025178200000000005
,,0.0,10.0,,63.735000000000014,11.356,,,Carry,,,,,380616.0,65.625,13.872000000000002,,,,,,,,,21.0,Nené,False,Famalicao,Santa Clara,0.0
2393108219.0,8.0,0.0,12.0,251.0,65.625,13.872000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone', 'StandingSave']","[91, 120, 29, 36, 37, 217, 218]",True,380616.0,78.96000000000001,14.484000000000002,,,,,,,,,21.0,Nené,True,Famalicao,Santa Clara,0.005311739999999999
2393108311.0,4.0,0.0,13.0,935.0,23.52,50.32,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Head', 'Zone']","[91, 101, 56]",True,400243.0,,,,,,,,,,,,,,Famalicao,Santa Clara,
2393108343.0,5.0,0.0,16.0,935.0,19.74,37.604,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'Head', 'Angle']","[91, 94, 95, 57, 215]",True,422248.0,29.19,45.424,,,,,,,,,,,,Famalicao,Santa Clara,
2393108485.0,9.0,0.0,17.0,251.0,71.715,22.236000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Zone', 'HeadPass', 'Length']","[91, 119, 117, 30, 139, 35, 37, 216, 218]",True,409279.0,68.565,23.12,,,,,,,,,25.0,Hidemasa Morita,False,Famalicao,Santa Clara,-0.004771079999999997
,,0.0,17.0,,68.565,23.12,,,Carry,,,,,380616.0,66.675,22.44,,,,,,,,,21.0,Nené,False,Famalicao,Santa Clara,0.0
2393108513.0,10.0,0.0,18.0,251.0,66.675,22.44,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Longball', 'Angle', 'Zone', 'PassEndX', 'StandingSave']","[91, 117, 127, 35, 37, 216, 218]",True,380616.0,47.460000000000015,40.8,,,,,,,,,21.0,Nené,False,Famalicao,Santa Clara,-0.004505340000000002
,,0.0,18.0,,47.460000000000015,40.8,,,Carry,,,,,130450.0,49.35,40.39200000000001,,,,,,,,,6.0,Mansur,False,Famalicao,Santa Clara,0.0
2393108577.0,11.0,0.0,22.0,251.0,49.35,40.39200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'HeadPass', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 139, 35, 38, 216, 218]",True,130450.0,48.930000000000014,27.33600000000001,,,,,,,,,6.0,Mansur,False,Famalicao,Santa Clara,0.0
2393108705.0,12.0,0.0,24.0,251.0,48.72,26.112000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,409279.0,36.225,7.072000000000001,,,,,,,,,25.0,Hidemasa Morita,False,Famalicao,Santa Clara,-0.0035833099999999993
