id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,cardType,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2391102043.0,2.0,0.0,107.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Famalicao,
2391102045.0,2.0,0.0,935.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Famalicao,
2391161009.0,851.0,0.0,107.0,,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Famalicao,
2391161013.0,803.0,0.0,935.0,,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Famalicao,
2391081947.0,1.0,0.0,935.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId', 'InvolvedPlayers']",[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Famalicao,
2391083969.0,1.0,0.0,107.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'TeamPlayerFormation', 'TeamFormation', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Famalicao,
2391102073.0,3.0,0.0,107.0,135638.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,0.0,34.965,27.404000000000003,,,,,,,,,,88.0,Tiago Silva,False,Vitoria de Guimaraes,Famalicao,-0.0035222199999999995
2391102115.0,4.0,0.0,107.0,351604.0,34.965,27.404000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Zone', 'Length', 'Angle', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,3.0,38.85,52.564,,,,,,,,,,44.0,Jorge Fernandes,False,Vitoria de Guimaraes,Famalicao,0.00082343
,,0.0,,400844.0,38.85,52.564,,,Carry,,,,,3.0,40.53,54.67200000000001,,,,,,,,,,6.0,Abdul Mumin,False,Vitoria de Guimaraes,Famalicao,0.0
2391102127.0,5.0,0.0,107.0,400844.0,40.53,54.67200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 120, 29, 124, 36, 38, 216, 218]",True,6.0,69.19500000000001,48.348000000000006,,,,,,,,,,6.0,Abdul Mumin,True,Vitoria de Guimaraes,Famalicao,0.007204130000000001
