id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2446733439.0,2.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446733443.0,2.0,0.0,0.0,290,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446776285.0,823.0,0.0,0.0,5948,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446776457.0,974.0,0.0,0.0,290,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446725461.0,1.0,0.0,0.0,290,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamFormation', 'TeamPlayerFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446725541.0,1.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamFormation', 'InvolvedPlayers', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446733451.0,3.0,0.0,0.0,290,52.5,34.34,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,369398.0,46.2,40.392,,,,,,,,,,,,False,Arouca,Gil Vicente,-0.0020492999999999987
2446733513.0,4.0,0.0,2.0,290,46.935,37.74,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'Chipped', 'Length', 'StandingSave', 'PassEndX', 'Longball', 'Zone']","[91, 120, 124, 128, 36, 38, 217, 218]",True,135350.0,74.34,8.772,,,,,,,,,,,,True,Arouca,Gil Vicente,
2446733515.0,5.0,0.0,4.0,290,75.81,6.732000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[197, 199]",False,425187.0,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446733487.0,3.0,0.0,4.0,5948,29.19,61.268,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[198, 200]",False,383609.0,,,,,,,,,,,,28.0,Tiago Esgaio,,Arouca,Gil Vicente,
2446733541.0,7.0,0.0,4.0,290,81.69,7.548,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Head', 'Zone']",[91],True,425187.0,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446733547.0,6.0,0.0,16.0,5948,23.31,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'ThrowIn', 'PassEndY', 'PassEndX', 'Longball', 'Length', 'Zone']","[91, 212, 36, 38, 216]",True,383609.0,45.57,65.48400000000001,,,,,,,,,,28.0,Tiago Esgaio,False,Arouca,Gil Vicente,
2446733559.0,8.0,0.0,17.0,290,60.900000000000006,5.44,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,444938.0,63.525000000000006,19.584000000000003,,,,,,,,,,,,False,Arouca,Gil Vicente,0.004615360000000002
2447402171.0,976.0,0.0,19.0,290,63.0,17.476,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135350.0,,,,,,,,,,,,,,,Arouca,Gil Vicente,
2446733567.0,10.0,0.0,20.0,290,72.97500000000001,24.14,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'LayOff', 'Zone', 'PassEndY', 'Length', 'StandingSave', 'PassEndX']","[91, 120, 29, 35, 38, 217, 218]",True,369398.0,70.455,22.032,,,,,,,,,,,,False,Arouca,Gil Vicente,
2446733563.0,9.0,0.0,20.0,290,63.63,21.012,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'Angle', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,135350.0,72.97500000000001,24.14,,,,,,,,,,,,False,Arouca,Gil Vicente,0.004771079999999997
2446733571.0,7.0,0.0,21.0,5948,28.875,46.104,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Angle']","[91, 118, 120, 128, 36, 38, 216, 218]",True,382364.0,47.775,36.312000000000005,,,,,,,,,,3.0,Jerome Opoku,False,Arouca,Gil Vicente,
2446733585.0,11.0,0.0,23.0,290,54.705000000000005,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'HeadPass']","[91, 120, 29, 139, 36, 37, 216, 218]",True,383996.0,68.355,42.772000000000006,,,,,,,,,,,,True,Arouca,Gil Vicente,
2446740643.0,197.0,0.0,25.0,5948,36.96000000000001,26.588000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Angle', 'HeadPass', 'Length', 'Zone']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,347640.0,37.17,25.364,,,,,,,,,,14.0,Oriol Busquets,False,Arouca,Gil Vicente,
2446733607.0,13.0,0.0,28.0,290,58.800000000000004,36.720000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Foul', 'Offensive', 'Zone']","[91, 63]",True,331609.0,,,,,,,,,,,,,,,Arouca,Gil Vicente,
