id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2502723157.0,2.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Benfica,
2502723171.0,2.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Benfica,
2502750263.0,747.0,0.0,0.0,5948,0.0,0.0,5.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Benfica,
2502750325.0,990.0,0.0,0.0,299,0.0,0.0,5.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Arouca,Benfica,
2502689135.0,1.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Arouca,Benfica,
2502699497.0,1.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Arouca,Benfica,
2502723215.0,3.0,0.0,0.0,5948,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'Length', 'PassEndY', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,431222.0,28.14,43.79200000000001,,,,,,,,,,2.0,Morlaye Sylla,False,Arouca,Benfica,-0.003741359999999999
,,0.0,0.0,5948,28.14,43.79200000000001,,,Carry,,,,,382364.0,30.135,42.364000000000004,,,,,,,,,,3.0,Jerome Opoku,False,Arouca,Benfica,0.0
2502723255.0,4.0,0.0,3.0,5948,30.135,42.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Chipped', 'PassEndX', 'Longball', 'PassEndY', 'Zone', 'Length']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,382364.0,73.605,25.976000000000003,,,,,,,,,,3.0,Jerome Opoku,True,Arouca,Benfica,0.012527729999999999
2502723279.0,5.0,0.0,6.0,5948,73.71000000000001,25.296000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[197, 199]",False,371972.0,,,,,,,,,,,,18.0,Benji Michel,,Arouca,Benfica,
2502723251.0,3.0,0.0,6.0,299,31.290000000000003,42.704,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[198, 200]",False,75691.0,,,,,,,,,,,,,,,Arouca,Benfica,
2502723285.0,6.0,0.0,6.0,5948,79.905,22.712,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone', 'HeadPass']","[91, 120, 29, 139, 35, 38, 217, 218]",True,371972.0,76.44,21.624000000000002,,,,,,,,,,18.0,Benji Michel,False,Arouca,Benfica,
2502723331.0,4.0,0.0,8.0,299,25.830000000000002,46.92,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'HeadPass', 'PassEndX', 'Angle', 'PassEndY']","[91, 117, 30, 139, 35, 37, 215, 218]",True,369712.0,21.840000000000003,55.89600000000001,,,,,,,,,,,,False,Arouca,Benfica,-0.0005892200000000014
2502723339.0,5.0,0.0,9.0,299,27.615000000000002,56.984,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,107252.0,,,,,,,,,,,,,,,Arouca,Benfica,
2502723351.0,6.0,0.0,9.0,299,27.615000000000002,56.984,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Longball', 'StandingSave', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 127, 36, 38, 216, 218]",True,107252.0,50.19,28.424,,,,,,,,,,,,False,Arouca,Benfica,0.004251080000000001
2502723465.0,7.0,0.0,13.0,299,50.400000000000006,28.288000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'HeadPass', 'Zone', 'Length', 'PassEndX', 'Angle']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,247995.0,58.695,18.360000000000003,,,,,,,,,,,,False,Arouca,Benfica,0.0020099799999999998
2502723489.0,8.0,0.0,21.0,299,73.08,28.628000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,326505.0,68.25,20.876,,,,,,,,,,,,False,Arouca,Benfica,-0.004500169999999998
2502723515.0,9.0,0.0,22.0,299,66.99,17.34,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,369712.0,74.235,2.788,,,,,,,,,,,,False,Arouca,Benfica,0.0018699699999999986
2502723579.0,10.0,0.0,24.0,299,66.57000000000001,2.4480000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'StandingSave', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 36, 217, 218]",True,401520.0,78.12,2.4480000000000004,,,,,,,,,,,,False,Arouca,Benfica,0.010112520000000003
2502723615.0,11.0,0.0,28.0,299,93.24,3.74,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,125476.0,91.77000000000001,12.852,,,,,,,,,,,,False,Arouca,Benfica,0.005819199999999997
2502723617.0,12.0,0.0,30.0,299,90.3,17.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,326505.0,,,,,,,,,,,,,,,Arouca,Benfica,
2502723687.0,7.0,0.0,31.0,5948,18.585,49.912000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,428999.0,,,,,,,,,,,,11.0,Antony,,Arouca,Benfica,
,,0.0,31.0,5948,18.585,49.912000000000006,,,Carry,,,,,428999.0,31.605000000000004,31.144000000000002,,,,,,,,,,11.0,Antony,True,Arouca,Benfica,0.0013107199999999996
2502723709.0,8.0,0.0,35.0,5948,31.605000000000004,31.144000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'Angle', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,428999.0,30.66,3.6720000000000006,,,,,,,,,,11.0,Antony,False,Arouca,Benfica,-0.0015471700000000005
,,0.0,35.0,5948,30.66,3.6720000000000006,,,Carry,,,,,431222.0,34.44,3.4000000000000004,,,,,,,,,,2.0,Morlaye Sylla,False,Arouca,Benfica,0.0
2502723745.0,9.0,0.0,38.0,5948,34.44,3.4000000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,431222.0,20.790000000000003,1.7000000000000002,,,,,,,,,,2.0,Morlaye Sylla,False,Arouca,Benfica,-0.0013280500000000008
,,0.0,38.0,5948,20.790000000000003,1.7000000000000002,,,Carry,,,,,409375.0,21.105000000000004,3.944,,,,,,,,,,21.0,Bogdan Milovanov,False,Arouca,Benfica,0.0
2502723771.0,10.0,0.0,39.0,5948,21.105000000000004,3.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Chipped', 'PassEndX', 'Angle', 'Length', 'Longball', 'Zone']","[91, 120, 124, 128, 36, 37, 216, 218]",True,409375.0,65.205,21.624000000000002,,,,,,,,,,21.0,Bogdan Milovanov,True,Arouca,Benfica,
2502723859.0,14.0,0.0,46.0,299,36.75,39.508,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Length', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,75691.0,27.405,14.484000000000002,,,,,,,,,,,,False,Arouca,Benfica,-0.0020315600000000017
2502723869.0,15.0,0.0,50.0,299,27.405,15.096,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,401520.0,,,,,,,,,,,,,,,Arouca,Benfica,
2502723969.0,16.0,0.0,55.0,299,37.48500000000001,2.584,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,401520.0,37.38,11.968000000000002,,,,,,,,,,,,False,Arouca,Benfica,0.0008845199999999998
2502724011.0,17.0,0.0,59.0,299,44.83500000000001,22.983999999999998,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,369712.0,38.64,43.996,,,,,,,,,,,,False,Arouca,Benfica,-0.00159954
2502724037.0,18.0,1.0,2.0,299,44.1,51.884,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,361961.0,59.745000000000005,65.62,,,,,,,,,,,,False,Arouca,Benfica,0.0008905599999999986
2502724117.0,19.0,1.0,5.0,299,59.535000000000004,64.668,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,107252.0,50.82,55.42,,,,,,,,,,,,False,Arouca,Benfica,-0.0008905599999999986
2502724135.0,20.0,1.0,12.0,299,61.32,49.64,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'Zone', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,361961.0,71.715,47.6,,,,,,,,,,,,True,Arouca,Benfica,0.0047710800000000005
2502724179.0,21.0,1.0,12.0,299,71.715,47.6,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,247995.0,74.13,65.824,,,,,,,,,,,,False,Arouca,Benfica,-0.002901110000000002
2502724227.0,22.0,1.0,17.0,299,78.12,63.988,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'Angle', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,107252.0,78.435,58.276,,,,,,,,,,,,False,Arouca,Benfica,0.008311429999999998
2502724243.0,23.0,1.0,21.0,299,79.38,63.648,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,247995.0,80.115,65.07600000000001,,,,,,,,,,,,False,Arouca,Benfica,0.0
2502724247.0,24.0,1.0,22.0,299,79.275,65.552,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,303544.0,79.17000000000002,61.404,,,,,,,,,,,,False,Arouca,Benfica,0.0
2503098735.0,992.0,1.0,23.0,299,76.125,60.31600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,107252.0,,,,,,,,,,,,,,,Arouca,Benfica,
2502724271.0,13.0,1.0,24.0,5948,22.680000000000003,2.72,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,431222.0,,,,,,,,,,,,2.0,Morlaye Sylla,,Arouca,Benfica,
,,1.0,24.0,5948,22.680000000000003,2.72,,,Carry,,,,,431222.0,21.525000000000002,0.7480000000000001,,,,,,,,,,2.0,Morlaye Sylla,False,Arouca,Benfica,0.0
2502724319.0,14.0,1.0,26.0,5948,21.525000000000002,0.7480000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Chipped', 'PassEndX', 'Length', 'Zone', 'Longball', 'PassEndY']","[91, 120, 124, 128, 36, 37, 216, 218]",True,431222.0,57.435,27.472,,,,,,,,,,2.0,Morlaye Sylla,True,Arouca,Benfica,
2502724327.0,25.0,1.0,29.0,299,49.875,37.74,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,443613.0,,,,,,,,,,,,,,,Arouca,Benfica,
2502724371.0,26.0,1.0,31.0,299,47.98500000000001,32.980000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,443613.0,50.505,52.156000000000006,,,,,,,,,,,,False,Arouca,Benfica,-0.0010005799999999992
2502724391.0,27.0,1.0,34.0,299,50.505,52.564,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,361961.0,59.325,42.024,,,,,,,,,,,,False,Arouca,Benfica,0.003049879999999998
2502724421.0,28.0,1.0,36.0,299,56.80500000000001,43.86000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,369712.0,64.47,25.092000000000002,,,,,,,,,,,,False,Arouca,Benfica,0.002495360000000002
2502724461.0,29.0,1.0,39.0,299,64.05,22.304,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Longball', 'Angle', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Chipped']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,125476.0,102.06,7.072000000000001,,,,,,,,,,,,True,Arouca,Benfica,0.018574579999999997
2502724489.0,30.0,1.0,45.0,299,93.97500000000001,1.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,401520.0,77.28,11.56,,,,,,,,,,,,False,Arouca,Benfica,-0.010835510000000003
