id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,0.0,5.0,2188,29.505000000000003,44.676,,,Carry,,,,,421890.0,45.36000000000001,49.232000000000006,,,,,,,,,,3.0,Bernardo Vital,True,Estoril,Santa Clara,0.003186659999999999
2541710717.0,6.0,0.0,14.0,2188,45.36000000000001,49.232000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,421890.0,41.685,65.756,,,,,,,,,,3.0,Bernardo Vital,False,Estoril,Santa Clara,-0.0030286099999999993
2541710745.0,7.0,0.0,16.0,2188,41.685,65.552,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,105928.0,56.910000000000004,63.71600000000001,,,,,,,,,,31.0,Joãozinho,False,Estoril,Santa Clara,0.0034732899999999987
2541710777.0,9.0,0.0,17.0,2188,43.365,57.46,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'Chipped', 'Longball']","[91, 120, 124, 128, 36, 38, 217, 218]",True,105928.0,94.29,49.096000000000004,,,,,,,,,,31.0,Joãozinho,True,Estoril,Santa Clara,
2541710749.0,8.0,0.0,17.0,2188,56.910000000000004,63.71600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX', 'LayOff', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,280246.0,43.365,57.596000000000004,,,,,,,,,,28.0,Carlos Eduardo,False,Estoril,Santa Clara,-0.002588769999999999
2541710819.0,3.0,0.0,23.0,251,10.815000000000001,22.916000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,337629.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541710911.0,4.0,0.0,28.0,251,10.605,29.036000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['KeeperThrow', 'PassEndX', 'Zone', 'PassEndY', 'Length', 'StandingSave', 'Angle']","[91, 36, 37, 215, 218]",True,337629.0,24.150000000000002,57.188,,,,,,,,,,,,False,Estoril,Santa Clara,-0.0014034000000000008
2541711013.0,5.0,0.0,32.0,251,26.145,59.636,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,143035.0,38.85,65.688,,,,,,,,,,,,False,Estoril,Santa Clara,0.0028141300000000015
2541711033.0,6.0,0.0,34.0,251,38.85,65.688,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,322764.0,59.64,65.07600000000001,,,,,,,,,,,,True,Estoril,Santa Clara,0.0034732899999999987
2541711115.0,7.0,0.0,36.0,251,59.64,65.07600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,281935.0,80.64,61.744,,,,,,,,,,,,True,Estoril,Santa Clara,0.01282716
2541711213.0,8.0,0.0,42.0,251,90.825,60.52,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,397827.0,85.995,65.008,,,,,,,,,,,,False,Estoril,Santa Clara,0.0
2541711233.0,9.0,0.0,48.0,251,95.865,62.764,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['LeftFoot', 'Angle', 'Length', 'PassEndY', 'Cross', 'StandingSave', 'PassEndX', 'Zone']","[91, 138, 126, 36, 38, 217, 218]",True,281935.0,98.385,45.15200000000001,,,,,,,,,,,,True,Estoril,Santa Clara,
2541711245.0,11.0,0.0,49.0,2188,5.25,22.032,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave']","[91, 94, 95, 215]",True,421890.0,14.385,10.268,,,,,,,,,,3.0,Bernardo Vital,,Estoril,Santa Clara,
