id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388116271.0,22.0,1.0,0.0,290.0,33.075,5.304,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,404281.0,26.35500000000001,18.156000000000002,,,,,,,,,,,,False,Porto,Gil Vicente,0.0002364500000000009
2388116349.0,23.0,1.0,3.0,290.0,32.025,15.98,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Chipped', 'StandingSave', 'PassEndY', 'Length', 'Longball', 'Zone', 'PassEndX']","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,334129.0,64.47,64.94,,,,,,,,,,,,True,Porto,Gil Vicente,0.006855699999999999
2388116405.0,24.0,1.0,11.0,290.0,82.84500000000004,63.58000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'Length']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,322733.0,73.185,55.62400000000001,,,,,,,,,,,,False,Porto,Gil Vicente,-0.0035479100000000013
2388116423.0,25.0,1.0,16.0,290.0,73.815,54.876000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,322643.0,75.60000000000002,66.096,,,,,,,,,,,,False,Porto,Gil Vicente,-0.0027939199999999983
2388116427.0,26.0,1.0,18.0,290.0,75.39,65.68800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,322733.0,73.39500000000001,58.412000000000006,,,,,,,,,,,,False,Porto,Gil Vicente,0.0027939199999999983
2388116443.0,27.0,1.0,19.0,290.0,73.39500000000001,58.412000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,322643.0,65.31,66.64,,,,,,,,,,,,False,Porto,Gil Vicente,-0.0065646099999999985
2388116473.0,28.0,1.0,20.0,290.0,61.95,66.572,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,322733.0,43.785000000000004,58.412000000000006,,,,,,,,,,,,False,Porto,Gil Vicente,-0.00530341
2388116487.0,29.0,1.0,22.0,290.0,49.980000000000004,58.82000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,135962.0,60.06,57.66400000000001,,,,,,,,,,,,False,Porto,Gil Vicente,0.0022727300000000006
2388116493.0,30.0,1.0,23.0,290.0,60.165,56.916,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'LayOff', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,322643.0,40.635000000000005,34.476000000000006,,,,,,,,,,,,False,Porto,Gil Vicente,-0.0034916700000000005
2388116507.0,31.0,1.0,25.0,290.0,35.910000000000004,29.036000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Length']","[91, 120, 29, 36, 38, 216, 218]",True,334129.0,62.79,26.656,,,,,,,,,,,,True,Porto,Gil Vicente,0.00734424
