id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2452464639.0,5.0,0.0,20.0,935,47.565,59.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,136435.0,,,,,,,,,,,,5.0,Rúben Lima,,Famalicao,Santa Clara,
2452464659.0,6.0,0.0,20.0,935,47.565,59.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 37, 216, 218]",True,136435.0,68.355,63.784000000000006,,,,,,,,,,5.0,Rúben Lima,True,Famalicao,Santa Clara,0.0036051999999999994
,,0.0,20.0,935,68.355,63.784000000000006,,,Carry,,,,,432217.0,69.92999999999999,64.05600000000001,,,,,,,,,,14.0,Junior Kadile,False,Famalicao,Santa Clara,0.0
2452464665.0,7.0,0.0,22.0,935,69.92999999999999,64.05600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,432217.0,65.10000000000001,64.60000000000001,,,,,,,,,,14.0,Junior Kadile,False,Famalicao,Santa Clara,-0.00377069
,,0.0,22.0,935,65.10000000000001,64.60000000000001,,,Carry,,,,,136435.0,66.675,64.804,,,,,,,,,,5.0,Rúben Lima,False,Famalicao,Santa Clara,0.0
2452464675.0,8.0,0.0,24.0,935,66.675,64.804,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,136435.0,74.44500000000001,63.24,,,,,,,,,,5.0,Rúben Lima,False,Famalicao,Santa Clara,0.00377069
2452464681.0,9.0,0.0,24.0,935,74.44500000000001,63.24,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'LayOff', 'StandingSave', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,432217.0,67.72500000000001,60.31600000000001,,,,,,,,,,14.0,Junior Kadile,False,Famalicao,Santa Clara,-0.00377069
,,0.0,24.0,935,67.72500000000001,60.31600000000001,,,Carry,,,,,298175.0,63.839999999999996,58.07200000000001,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Santa Clara,0.0012528699999999997
2452464711.0,10.0,0.0,27.0,935,63.839999999999996,58.07200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'Angle', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,298175.0,72.765,54.67200000000001,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Santa Clara,0.005311739999999999
2452464733.0,11.0,0.0,29.0,935,72.87,54.67200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Angle', 'Zone', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,373108.0,69.405,62.016000000000005,,,,,,,,,,11.0,Pedro Brazão,False,Famalicao,Santa Clara,-0.0065646099999999985
