id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482689479.0,6.0,0.0,46.0,264,4.305,32.504,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,400847.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482689623.0,7.0,1.0,0.0,264,12.18,22.712,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'PassEndY', 'KeeperThrow']","[91, 36, 38, 215, 218]",True,400847.0,25.830000000000002,2.72,,,,,,,,,,,False,Maritimo,Famalicao,-0.0013289100000000009
2482689649.0,9.0,1.0,1.0,264,40.32,2.72,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'Zone', 'Foul', 'OppositeRelatedEvent']","[91, 63]",True,422003.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482689627.0,13.0,1.0,1.0,935,64.68,65.28,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Defensive', 'Foul', 'OppositeRelatedEvent', 'Zone']",[64],False,401060.0,,,,,,,,,,,74.0,Francisco Moura,,Maritimo,Famalicao,
2482689645.0,8.0,1.0,1.0,264,25.830000000000002,2.72,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,101952.0,44.205000000000005,3.5360000000000005,,,,,,,,,,,False,Maritimo,Famalicao,0.0028141300000000015
2482689723.0,10.0,1.0,12.0,264,40.425000000000004,1.7000000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'FreekickTaken', 'Zone', 'Angle', 'Length']","[91, 117, 30, 132, 35, 37, 215, 218]",True,101952.0,25.200000000000003,8.908000000000001,,,,,,,,,,,False,Maritimo,Famalicao,-0.0028141300000000015
2482689741.0,11.0,1.0,14.0,264,24.150000000000002,9.180000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,422005.0,10.290000000000001,26.792,,,,,,,,,,,False,Maritimo,Famalicao,-1.3259999999999314e-05
2482689769.0,12.0,1.0,17.0,264,10.290000000000001,26.792,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Zone', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,400847.0,14.91,40.528000000000006,,,,,,,,,,,False,Maritimo,Famalicao,0.0
2482689789.0,13.0,1.0,20.0,264,16.59,44.948,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,137058.0,19.95,60.928,,,,,,,,,,,False,Maritimo,Famalicao,-0.0013289100000000009
2482689823.0,14.0,1.0,21.0,264,20.475,60.928,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,345713.0,25.41,65.48400000000001,,,,,,,,,,,False,Maritimo,Famalicao,0.0
2482689827.0,15.0,1.0,24.0,264,25.830000000000002,65.008,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[91, 70]",True,329366.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482689837.0,14.0,1.0,24.0,935,79.17000000000002,2.9920000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 143]",True,372842.0,,,,,,,,,,,12.0,Gustavo Assunção,,Maritimo,Famalicao,
2482689841.0,15.0,1.0,25.0,935,86.94,4.760000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,358868.0,,,,,,,,,,,19.0,José Luis Rodríguez,,Maritimo,Famalicao,
,,1.0,25.0,935,86.94,4.760000000000001,,,Carry,,,,,358868.0,79.59,13.056000000000001,,,,,,,,,19.0,José Luis Rodríguez,False,Maritimo,Famalicao,0.0019695999999999984
2482689859.0,16.0,1.0,26.0,264,15.75,60.79200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']",[55],False,329366.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482689883.0,16.0,1.0,26.0,935,89.25,7.208,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 54]",True,358868.0,,,,,,,,,,,19.0,José Luis Rodríguez,,Maritimo,Famalicao,
2482689893.0,17.0,1.0,31.0,935,79.59,13.056000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'LeftFoot', 'Cross', 'PassEndY', 'Longball', 'Length', 'Zone', 'Chipped']","[91, 138, 124, 126, 36, 37, 217, 218]",True,358868.0,105.0,43.86000000000001,,,,,,,,,19.0,José Luis Rodríguez,True,Maritimo,Famalicao,
