awayTeam,away_score,blockedX,blockedY,eventType,expectedGoals,expectedGoalsOnTarget,firstName,goalCrossedY,goalCrossedZ,homeTeam,home_score,id,isBlocked,isOnTarget,isOwnGoal,lastName,min,minAdded,name,onGoalShot,period,playerId,playerName,round,shotType,situation,teamId,x,y
Pacos de Ferreira,0.0,99.1140350876,34.68625,Miss,0.10536009,,Goncalo,44.0007643265,0.2696842092,Benfica,1.0,2372658201.0,0.0,0.0,0.0,Ramos,47.0,,Benfica,"{'x': 1.1102230246251565e-16, 'y': 0.02696635980965888, 'zoomRatio': 0.37797111066638817}",SecondHalf,940087.0,Goncalo Ramos,17.0,LeftFoot,RegularPlay,9772.0,93.3000030517578,25.649375441074373
Pacos de Ferreira,0.0,101.4913793106,35.90625,AttemptSaved,0.30382693,0.458,Haris,31.94125,0.9759999952,Benfica,1.0,2372658389.0,0.0,1.0,0.0,Seferovic,48.0,,Benfica,"{'x': 1.544642857142858, 'y': 0.2582010569312169, 'zoomRatio': 1}",SecondHalf,170775.0,Haris Seferovic,17.0,Header,RegularPlay,9772.0,95.4473684198,37.744
Pacos de Ferreira,0.0,,,Miss,0.23004407,,Haris,28.539047618000005,1.60526315,Benfica,1.0,2372658585.0,0.0,0.0,0.0,Seferovic,49.0,,Benfica,"{'x': 2, 'y': 0.29395296602313453, 'zoomRatio': 0.6921869548724447}",SecondHalf,170775.0,Haris Seferovic,17.0,Header,FromCorner,9772.0,101.206896552,33.92375116348266
Pacos de Ferreira,0.0,102.2500000002,39.124761906,AttemptSaved,0.31585398,0.1717,,35.60125,0.8539999958000001,Benfica,1.0,2372660769.0,0.0,1.0,0.0,Diaby,56.0,,Pacos de Ferreira,"{'x': 0.5763888888888888, 'y': 0.22592592481481483, 'zoomRatio': 1}",SecondHalf,958533.0,Diaby,17.0,LeftFoot,RegularPlay,6403.0,97.9561388780607,46.24280147501287
Pacos de Ferreira,0.0,87.426470588,42.7553125,AttemptSaved,0.037486583,,Joao,31.63625,1.219999994,Benfica,1.0,2372661585.0,1.0,1.0,0.0,Mário,60.0,,Benfica,"{'x': 1.6253306878306886, 'y': 0.32275132116402117, 'zoomRatio': 1}",SecondHalf,300916.0,Joao Mário,17.0,RightFoot,RegularPlay,9772.0,83.6111650488,44.7714649638
Pacos de Ferreira,0.0,98.7280701752,42.2928125,AttemptSaved,0.1915313,,Rafa,33.39,1.219999994,Benfica,1.0,2372661773.0,1.0,1.0,0.0,Silva,61.0,,Benfica,"{'x': 1.1613756613756612, 'y': 0.32275132116402117, 'zoomRatio': 1}",SecondHalf,477023.0,Rafa Silva,17.0,RightFoot,RegularPlay,9772.0,97.6666696107786,43.650446924087134
Pacos de Ferreira,0.0,77.1917475744,34.68625,AttemptSaved,0.012625068,,,36.2875,1.219999994,Benfica,1.0,2372663383.0,1.0,1.0,0.0,Diaby,70.0,,Pacos de Ferreira,"{'x': 0.39484126984126955, 'y': 0.32275132116402117, 'zoomRatio': 1}",SecondHalf,958533.0,Diaby,17.0,RightFoot,RegularPlay,6403.0,74.26358879826887,34.53375058174134
Pacos de Ferreira,0.0,86.889705882,48.4848407617,AttemptSaved,0.032515705,,Ze,36.821250000000006,1.219999994,Benfica,1.0,2372663703.0,1.0,1.0,0.0,Uilton,72.0,,Pacos de Ferreira,"{'x': 0.2536375661375645, 'y': 0.32275132116402117, 'zoomRatio': 1}",SecondHalf,952234.0,Ze Uilton,17.0,RightFoot,RegularPlay,6403.0,83.27329753426886,50.58675372887426
Pacos de Ferreira,0.0,,,Miss,0.03354487,,Lucas,27.110238095,3.9764137976,Benfica,1.0,2372663787.0,0.0,0.0,0.0,Silva,72.0,,Pacos de Ferreira,"{'x': 2, 'y': 0.5771482167931317, 'zoomRatio': 0.5486401492708768}",SecondHalf,1030128.0,Lucas Silva,17.0,RightFoot,RegularPlay,6403.0,92.5,15.101146230128217
Pacos de Ferreira,0.0,,,Goal,0.06593788,0.714,Alex,30.7975,1.990526306,Benfica,2.0,2372664109.0,0.0,1.0,0.0,Grimaldo,75.0,,Benfica,"{'x': 1.8472222222222223, 'y': 0.5265942608465608, 'zoomRatio': 1}",SecondHalf,288406.0,Alex Grimaldo,17.0,LeftFoot,RegularPlay,9772.0,84.84999828153444,50.93707220037427
