shirtNo,team,playerId,name,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes
5.0,Belenenses-SAD,384385.0,Nilton Varela,778.0,38.0,26.0,99.0,6.0,236.0,153.0,19.0,0.7192253899999999,6.0,19.0,2.0,6.0,0.0
5.0,Benfica,21778.0,Jan Vertonghen,2484.0,180.0,116.0,281.0,8.0,1891.0,1681.0,8.0,2.62736985,6.0,154.0,2.0,3.0,1.0
5.0,Boavista,290842.0,Chidozie Awaziem,270.0,14.0,2.0,39.0,0.0,123.0,105.0,0.0,0.1868233099999999,0.0,10.0,0.0,0.0,0.0
5.0,Braga,140118.0,Nuno Sequeira,446.0,50.0,14.0,66.0,2.0,414.0,333.0,3.0,1.1965595800000002,4.0,35.0,0.0,8.0,0.0
5.0,Estoril,429092.0,Volnei Feltes,156.0,2.0,14.0,18.0,1.0,70.0,64.0,1.0,0.01165386,0.0,1.0,0.0,0.0,0.0
5.0,Famalicao,243271.0,Adrián Marín,2301.0,252.0,61.0,285.0,23.0,1235.0,935.0,31.0,5.067974460000001,17.0,109.0,5.0,34.0,4.0
5.0,Famalicao,271086.0,Calvin Verdonk,14.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.21964606,0.0,1.0,0.0,1.0,0.0
5.0,Gil-Vicente,298403.0,Emmanuel Hackman,655.0,56.0,19.0,83.0,1.0,507.0,386.0,5.0,0.6179811599999995,4.0,44.0,0.0,3.0,2.0
5.0,Maritimo,137058.0,Zainadine Júnior,2880.0,143.0,69.0,416.0,7.0,1776.0,1523.0,13.0,2.27628808,5.0,65.0,0.0,2.0,2.0
5.0,Moreirense,367812.0,Abdu Conté,1377.0,94.0,70.0,123.0,23.0,753.0,566.0,37.0,1.7650821299999997,22.0,61.0,5.0,14.0,3.0
5.0,Pacos-de-Ferreira,23621.0,Antunes,2544.0,240.0,106.0,301.0,15.0,1621.0,1103.0,50.0,9.2366839,39.0,133.0,3.0,67.0,17.0
5.0,Portimonense,373033.0,Fali Candé,1312.0,94.0,47.0,142.0,14.0,729.0,503.0,27.0,3.29410376,16.0,49.0,3.0,23.0,4.0
5.0,Porto,28521.0,Iván Marcano,659.0,39.0,12.0,74.0,1.0,453.0,390.0,4.0,0.9007690799999998,5.0,44.0,0.0,3.0,0.0
5.0,Santa-Clara,234374.0,João Afonso,1116.0,37.0,29.0,132.0,2.0,480.0,385.0,3.0,0.6341790099999998,2.0,23.0,0.0,0.0,3.0
5.0,Sporting,395221.0,Nuno Mendes,113.0,11.0,10.0,14.0,0.0,86.0,69.0,1.0,0.3609001799999999,3.0,4.0,0.0,3.0,1.0
5.0,Tondela,375327.0,Modibo Sagnan,2251.0,90.0,51.0,312.0,8.0,1037.0,825.0,17.0,1.3012841299999995,6.0,43.0,0.0,1.0,2.0
5.0,Vitoria-de-Guimaraes,302664.0,Rafa Soares,2542.0,185.0,94.0,261.0,8.0,1456.0,1040.0,22.0,4.89331031,45.0,87.0,9.0,45.0,10.0
5.0,Vizela,416912.0,Anderson,1530.0,48.0,16.0,178.0,0.0,606.0,480.0,1.0,0.9391977499999996,0.0,28.0,0.0,0.0,1.0
6.0,Arouca,416502.0,Mateus Quaresma,2436.0,164.0,116.0,302.0,38.0,1434.0,1047.0,68.0,2.29993128,29.0,102.0,4.0,24.0,2.0
6.0,Belenenses-SAD,105745.0,Afonso Taira,18.0,2.0,0.0,2.0,0.0,15.0,10.0,0.0,0.0141624099999999,0.0,2.0,0.0,0.0,0.0
6.0,Boavista,12378.0,Javi García,1238.0,23.0,19.0,91.0,0.0,487.0,422.0,0.0,0.2459710799999998,1.0,17.0,0.0,0.0,0.0
6.0,Estoril,142746.0,Francisco Geraldes,1641.0,57.0,57.0,158.0,28.0,630.0,478.0,57.0,1.56504357,23.0,62.0,5.0,18.0,4.0
6.0,Famalicao,316532.0,Charles Pickel,2372.0,58.0,29.0,294.0,6.0,1041.0,866.0,12.0,0.4869519499999998,13.0,73.0,0.0,3.0,3.0
6.0,Gil-Vicente,137128.0,João Afonso,17.0,2.0,0.0,3.0,0.0,22.0,21.0,0.0,0.0369104599999998,0.0,3.0,0.0,0.0,0.0
6.0,Maritimo,430399.0,Filipe Cardoso,16.0,2.0,0.0,0.0,0.0,18.0,17.0,0.0,-0.0009632,0.0,0.0,0.0,0.0,0.0
6.0,Moreirense,322766.0,Fábio Pacheco,1932.0,40.0,15.0,228.0,2.0,607.0,454.0,2.0,0.6213418099999996,7.0,46.0,1.0,4.0,1.0
6.0,Pacos-de-Ferreira,380682.0,Maracás,2066.0,53.0,23.0,291.0,6.0,944.0,801.0,8.0,0.6980822999999997,1.0,25.0,0.0,0.0,0.0
6.0,Portimonense,422208.0,Henrique Jocú,581.0,16.0,11.0,55.0,2.0,260.0,204.0,2.0,0.0135804500000002,2.0,15.0,0.0,0.0,0.0
6.0,Santa-Clara,130450.0,Mansur,2001.0,98.0,33.0,233.0,12.0,1014.0,784.0,27.0,1.6674454899999995,10.0,67.0,1.0,14.0,2.0
6.0,Sporting,322774.0,João Palhinha,1877.0,51.0,35.0,251.0,15.0,1072.0,936.0,27.0,0.8146115699999997,10.0,102.0,2.0,1.0,2.0
