id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2521829255.0,11.0,0.0,18.0,299,29.925,31.144000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,125476.0,38.115,12.920000000000002,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.00082343
2521829265.0,12.0,0.0,22.0,299,50.400000000000006,6.256,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[91, 120, 29, 36, 37, 216, 218]",True,401520.0,56.385000000000005,8.024000000000001,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,
2521829351.0,9.0,0.0,22.0,107,24.150000000000002,64.53200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,430413.0,,,,,,,,,,,,,20.0,Nélson da Luz,,Benfica,Vitoria de Guimaraes,
2521829593.0,14.0,0.0,40.0,299,66.885,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'ThrowIn']","[91, 212, 35, 37, 216]",True,401520.0,50.19,3.944,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-0.0049671599999999965
2521829633.0,15.0,0.0,42.0,299,50.19,3.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,443613.0,39.375,22.916000000000004,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.0002082999999999998
2521829729.0,16.0,0.0,45.0,299,39.375,22.916000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,75691.0,42.315,42.024,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-6.527999999999916e-05
2521829779.0,17.0,0.0,48.0,299,43.260000000000005,43.248000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'Zone', 'Angle', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,361961.0,61.005,64.396,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.004758859999999997
2521829883.0,18.0,0.0,51.0,299,61.95,64.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,107252.0,55.964999999999996,60.928,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-0.0027146399999999973
2521829945.0,19.0,0.0,56.0,299,59.325,51.408,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Length', 'PassEndX', 'Longball', 'StandingSave', 'Angle', 'PassEndY', 'Zone']","[91, 120, 124, 128, 36, 38, 217, 218]",True,361961.0,92.925,0.0,,,,,,,,,,,,,True,Benfica,Vitoria de Guimaraes,
2521830265.0,12.0,1.0,16.0,107,15.120000000000001,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'ThrowIn', 'Length', 'Zone', 'PassEndX', 'Angle']","[91, 212, 36, 38, 215]",True,447235.0,34.964999999999996,63.71600000000001,,,,,,,,,,,72.0,Afonso Freitas,False,Benfica,Vitoria de Guimaraes,0.0034665100000000008
