id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2510153585.0,2.0,0.0,0.0,9509,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510153609.0,2.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510197725.0,828.0,0.0,0.0,9509,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510198319.0,934.0,0.0,0.0,107,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510124033.0,1.0,0.0,0.0,9509,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'CaptainPlayerId', 'PlayerPosition', 'TeamPlayerFormation', 'TeamFormation']",[],False,,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510128237.0,1.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'JerseyNumber', 'TeamPlayerFormation', 'PlayerPosition', 'TeamFormation', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510153637.0,3.0,0.0,0.0,9509,52.605000000000004,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'StandingSave', 'PassEndX', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,436559.0,37.17,39.236000000000004,,,,,,,,,,,False,Casa Pia AC,Vitoria de Guimaraes,-0.004268819999999998
2510153657.0,4.0,0.0,2.0,9509,37.17,39.236000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,472325.0,21.630000000000003,38.42,,,,,,,,,,,False,Casa Pia AC,Vitoria de Guimaraes,-0.0024609700000000016
2510153681.0,5.0,0.0,4.0,9509,21.945,38.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'Angle', 'Zone', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,120734.0,22.995,50.660000000000004,,,,,,,,,,,False,Casa Pia AC,Vitoria de Guimaraes,-0.0007416699999999998
2510153707.0,6.0,0.0,7.0,9509,23.205000000000002,50.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,105686.0,18.900000000000002,29.240000000000002,,,,,,,,,,,False,Casa Pia AC,Vitoria de Guimaraes,0.00015244999999999842
2510153769.0,7.0,0.0,11.0,9509,21.105000000000004,25.432000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length', 'PassEndY', 'Chipped']","[91, 120, 124, 128, 36, 38, 217, 218]",True,120734.0,77.91000000000001,2.788,,,,,,,,,,,True,Casa Pia AC,Vitoria de Guimaraes,
2510153785.0,3.0,0.0,16.0,107,24.36,63.648,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,408432.0,,,,,,,,,,,13.0,André Amaro,,Casa Pia AC,Vitoria de Guimaraes,
,,0.0,16.0,107,24.36,63.648,,,Carry,,,,,408432.0,23.625,61.744,,,,,,,,,13.0,André Amaro,False,Casa Pia AC,Vitoria de Guimaraes,0.0
2510153819.0,4.0,0.0,17.0,107,23.625,61.744,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,408432.0,29.085,56.440000000000005,,,,,,,,,13.0,André Amaro,False,Casa Pia AC,Vitoria de Guimaraes,0.00214636
,,0.0,17.0,107,29.085,56.440000000000005,,,Carry,,,,,437999.0,25.095,58.548,,,,,,,,,80.0,Dani Silva,False,Casa Pia AC,Vitoria de Guimaraes,-0.0011710799999999997
2510153839.0,5.0,0.0,20.0,107,25.095,58.548,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,437999.0,15.33,64.464,,,,,,,,,80.0,Dani Silva,False,Casa Pia AC,Vitoria de Guimaraes,-0.0016276599999999995
2510153861.0,6.0,0.0,22.0,107,15.225000000000001,64.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'StandingSave', 'Chipped', 'Angle', 'PassEndY']","[91, 117, 30, 124, 36, 38, 216, 218]",True,408432.0,42.0,64.26,,,,,,,,,13.0,André Amaro,False,Casa Pia AC,Vitoria de Guimaraes,0.0034665100000000008
2510153923.0,7.0,0.0,24.0,107,42.0,64.26,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['OtherBodyPart', 'Angle', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,319796.0,40.005,60.11200000000001,,,,,,,,,90.0,Mikey Johnston,False,Casa Pia AC,Vitoria de Guimaraes,0.0
2510153975.0,8.0,0.0,25.0,107,40.005,60.11200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'Length', 'Chipped', 'Zone', 'PassEndX']","[91, 117, 30, 124, 36, 37, 216, 218]",True,297541.0,44.1,66.708,,,,,,,,,98.0,Nicolas Janvier,False,Casa Pia AC,Vitoria de Guimaraes,0.0012207699999999995
,,0.0,25.0,107,44.1,66.708,,,Carry,,,,,319796.0,40.425000000000004,65.756,,,,,,,,,90.0,Mikey Johnston,False,Casa Pia AC,Vitoria de Guimaraes,-0.0012207699999999995
2510161727.0,158.0,0.0,28.0,107,40.425000000000004,65.756,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone', 'Foul']","[91, 63]",True,319796.0,,,,,,,,,,,90.0,Mikey Johnston,,Casa Pia AC,Vitoria de Guimaraes,
2510153931.0,8.0,0.0,28.0,9509,64.575,2.244,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Defensive', 'Foul', 'OppositeRelatedEvent', 'StandingSave', 'Zone']",[64],False,136355.0,,,,,,,,,,,,,,Casa Pia AC,Vitoria de Guimaraes,
2510154119.0,10.0,0.0,44.0,107,39.375,66.708,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Zone', 'FreekickTaken']","[91, 117, 30, 132, 35, 38, 215, 218]",True,447235.0,24.255000000000003,49.776,,,,,,,,,72.0,Afonso Freitas,False,Casa Pia AC,Vitoria de Guimaraes,-0.0012496299999999998
2510154139.0,11.0,0.0,44.0,107,23.1,49.57200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,408432.0,25.305000000000003,28.016000000000005,,,,,,,,,13.0,André Amaro,False,Casa Pia AC,Vitoria de Guimaraes,0.00015244999999999842
2510154165.0,12.0,0.0,49.0,107,25.305000000000003,28.016000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,454565.0,29.19,48.144,,,,,,,,,83.0,Mamadou Tounkara,False,Casa Pia AC,Vitoria de Guimaraes,0.0009391300000000016
,,0.0,49.0,107,29.19,48.144,,,Carry,,,,,437999.0,35.07,45.83200000000001,,,,,,,,,80.0,Dani Silva,False,Casa Pia AC,Vitoria de Guimaraes,0.0
2510154179.0,13.0,0.0,53.0,107,35.07,45.83200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'StandingSave', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,437999.0,36.225,35.02,,,,,,,,,80.0,Dani Silva,False,Casa Pia AC,Vitoria de Guimaraes,-6.527999999999916e-05
2510154221.0,14.0,0.0,54.0,107,37.065,34.884,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,135638.0,25.515,52.36000000000001,,,,,,,,,10.0,Tiago Silva,False,Casa Pia AC,Vitoria de Guimaraes,-0.0032026400000000014
2510154251.0,15.0,0.0,59.0,107,25.725,51.204,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Length', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,408432.0,16.905,24.208000000000002,,,,,,,,,13.0,André Amaro,False,Casa Pia AC,Vitoria de Guimaraes,0.0003536300000000006
2510154267.0,16.0,1.0,2.0,107,16.59,25.16,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,454565.0,24.465000000000003,6.664000000000001,,,,,,,,,83.0,Mamadou Tounkara,False,Casa Pia AC,Vitoria de Guimaraes,-0.0013289100000000009
2510154305.0,17.0,1.0,3.0,107,24.885,7.004000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,431674.0,29.925,19.652,,,,,,,,,2.0,Miguel Maga,False,Casa Pia AC,Vitoria de Guimaraes,0.0026560800000000016
,,1.0,3.0,107,29.925,19.652,,,Carry,,,,,135638.0,25.725,17.816000000000003,,,,,,,,,10.0,Tiago Silva,False,Casa Pia AC,Vitoria de Guimaraes,-0.00109158
