id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2378141623.0,7.0,0.0,786.0,23621.0,32.13000000000001,66.16400000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'Angle', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,10.0,58.38,58.00400000000002,,,,,,,,,5.0,Antunes,True,Estoril,Pacos de Ferreira,0.006341540000000001
2378144027.0,353.0,0.0,786.0,384889.0,59.535,57.732000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PlayerCaughtOffside', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone']","[91, 217]",True,13.0,76.125,50.728,,,,,,,,,77.0,Nuno Santos,,Estoril,Pacos de Ferreira,
2378141631.0,3.0,0.0,2188.0,333315.0,33.075,24.412,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,13.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141637.0,4.0,0.0,2188.0,356232.0,33.705000000000005,28.220000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'FreekickTaken', 'StandingSave', 'PassEndY', 'Length', 'PassEndX', 'IndirectFreekickTaken']","[91, 117, 30, 132, 35, 37, 215, 218]",True,29.0,31.5,41.14,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0
2378141639.0,5.0,0.0,2188.0,333315.0,32.445,43.044000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,31.0,42.105000000000004,56.57600000000001,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0010425699999999996
2378141641.0,6.0,0.0,2188.0,421890.0,45.045,53.788,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Longball', 'Chipped', 'PassEndX', 'StandingSave', 'Angle', 'Zone', 'PassEndY']","[91, 120, 124, 128, 36, 37, 217, 218]",True,35.0,102.375,57.39200000000001,,,,,,,,,,,True,Estoril,Pacos de Ferreira,0.03263181
2378141643.0,9.0,0.0,786.0,275110.0,3.78,8.228,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,40.0,,,,,,,,,,,29.0,Fernando Fonseca,,Estoril,Pacos de Ferreira,
,,0.0,,275110.0,3.7800000000000002,8.228,,,Carry,,,,,40.0,9.03,1.8360000000000003,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0
2378141649.0,7.0,0.0,2188.0,105928.0,89.88,64.668,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,46.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141645.0,10.0,0.0,786.0,275110.0,9.03,1.8360000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Longball', 'PassEndX', 'Zone', 'Angle', 'PassEndY', 'StandingSave']","[91, 118, 120, 128, 36, 38, 215, 218]",True,46.0,14.07,1.4960000000000002,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0014131300000000003
2378141655.0,12.0,0.0,786.0,275110.0,18.585,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'ThrowIn', 'PassEndX', 'Length']","[91, 212, 36, 37, 215]",True,56.0,20.265,3.808,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0006523799999999993
2378141657.0,13.0,0.0,786.0,121675.0,20.265,3.808,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Angle', 'LayOff', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,58.0,13.86,1.4960000000000002,,,,,,,,,22.0,Luiz Carlos,False,Estoril,Pacos de Ferreira,-0.0006523799999999993
2378141659.0,14.0,0.0,786.0,275110.0,13.334999999999999,1.2920000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'Length', 'PassEndY', 'Longball', 'StandingSave', 'Zone']","[91, 118, 120, 128, 36, 37, 216, 218]",True,59.0,44.52,15.572000000000001,,,,,,,,,29.0,Fernando Fonseca,True,Estoril,Pacos de Ferreira,0.0043510300000000005
2378155027.0,11353.0,0.0,786.0,380685.0,76.125,50.728,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,9.0,Uilton,,Estoril,Pacos de Ferreira,
2378141661.0,9.0,1.0,2188.0,356232.0,63.315,53.516000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'Longball', 'Length']","[91, 120, 128, 36, 38, 217, 218]",True,2.0,83.05499999999999,52.76800000000002,,,,,,,,,,,True,Estoril,Pacos de Ferreira,0.010829249999999999
2378141663.0,15.0,1.0,786.0,423078.0,23.835,14.824000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'HeadPass', 'Angle', 'Zone', 'PassEndY']","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,4.0,32.97,17.612000000000005,,,,,,,,,3.0,Nuno Lima,False,Estoril,Pacos de Ferreira,0.0016808000000000014
2378141665.0,10.0,1.0,2188.0,333315.0,74.235,47.124,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,5.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141669.0,11.0,1.0,2188.0,333315.0,74.235,47.12400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 120, 29, 36, 38, 217, 218]",True,6.0,77.80499999999999,37.06,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.0002709099999999992
2378141667.0,16.0,1.0,786.0,322640.0,27.195,30.192,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,7.0,,,,,,,,,,,2.0,Marco Baixinho,,Estoril,Pacos de Ferreira,
2378141675.0,12.0,1.0,2188.0,421893.0,74.44500000000001,32.368,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,9.0,75.17999999999999,26.996,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0
2378141677.0,13.0,1.0,2188.0,329403.0,74.34,21.692,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Offensive']","[91, 54]",True,11.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141673.0,17.0,1.0,786.0,380685.0,30.66,46.308,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']",[55],False,11.0,,,,,,,,,,,9.0,Uilton,,Estoril,Pacos de Ferreira,
2378141683.0,14.0,1.0,2188.0,329403.0,75.17999999999999,24.276000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OverRun', 'Zone', 'Offensive', 'StandingSave']","[91, 204]",True,12.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141685.0,18.0,1.0,786.0,422245.0,30.03,53.244,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'HeadPass', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 30, 139, 35, 37, 215, 218]",True,13.0,24.36,64.12400000000001,,,,,,,,,26.0,Rui Pires,False,Estoril,Pacos de Ferreira,-0.0021463600000000017
,,1.0,,380685.0,24.36,64.12400000000001,,,Carry,,,,,13.0,22.05,64.32800000000002,,,,,,,,,9.0,Uilton,False,Estoril,Pacos de Ferreira,0.0
2378141687.0,19.0,1.0,786.0,380685.0,22.05,64.328,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,14.0,,,,,,,,,,,9.0,Uilton,,Estoril,Pacos de Ferreira,
,,1.0,,380685.0,22.05,64.32800000000002,,,Carry,,,,,14.0,30.66,62.424,,,,,,,,,9.0,Uilton,False,Estoril,Pacos de Ferreira,0.0013280500000000008
2378142191.0,91.0,1.0,786.0,380685.0,30.66,62.424,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 70]",True,15.0,,,,,,,,,,,9.0,Uilton,,Estoril,Pacos de Ferreira,
2378142189.0,93.0,1.0,2188.0,329403.0,74.34,5.576,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Offensive']","[91, 142]",True,15.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141693.0,15.0,1.0,2188.0,421893.0,79.8,5.372000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,16.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141689.0,20.0,1.0,786.0,380685.0,22.365,63.784000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,16.0,,,,,,,,,,,9.0,Uilton,,Estoril,Pacos de Ferreira,
2378141697.0,16.0,1.0,2188.0,329403.0,76.23,3.400000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'StandingSave', 'Length']","[91, 120, 29, 36, 38, 217, 218]",True,17.0,77.49,2.72,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0
2378141691.0,21.0,1.0,786.0,384889.0,27.930000000000003,64.736,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,18.0,,,,,,,,,,,77.0,Nuno Santos,,Estoril,Pacos de Ferreira,
2378141721.0,22.0,1.0,2188.0,421891.0,62.475,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Angle', 'ThrowIn', 'Length', 'PassEndX', 'Zone']","[91, 212, 36, 37, 217]",True,28.0,70.98,5.032000000000001,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.00377069
2378141705.0,23.0,1.0,786.0,322640.0,23.94,56.98400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Zone', 'Longball', 'Length']","[91, 117, 127, 36, 37, 216, 218]",True,29.0,40.74,66.50400000000002,,,,,,,,,2.0,Marco Baixinho,False,Estoril,Pacos de Ferreira,0.0018388500000000012
2378141709.0,24.0,1.0,786.0,131384.0,40.74,66.50400000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length', 'HeadPass']","[91, 120, 29, 139, 36, 38, 216, 218]",True,34.0,54.495,60.996000000000016,,,,,,,,,10.0,Denilson,False,Estoril,Pacos de Ferreira,0.0034732899999999987
2378141711.0,18.0,1.0,2188.0,356232.0,48.72,11.56,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'HeadPass', 'PassEndY', 'Zone', 'PassEndX', 'Length']","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,37.0,54.6,13.872000000000005,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0022727300000000006
2378141713.0,19.0,1.0,2188.0,333315.0,56.07,14.28,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,38.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141717.0,20.0,1.0,2188.0,333315.0,56.07,14.280000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'PassEndY', 'Chipped', 'PassEndX', 'Zone', 'Longball', 'Length']","[91, 120, 124, 128, 36, 37, 217, 218]",True,39.0,105.0,14.688000000000002,,,,,,,,,,,True,Estoril,Pacos de Ferreira,0.030359079999999997
2378141727.0,26.0,2.0,786.0,364187.0,4.83,36.04,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'GoalKick', 'Longball']","[91, 117, 127, 36, 38, 215, 218]",True,3.0,16.38,4.828,,,,,,,,,13.0,André Ferreira,False,Estoril,Pacos de Ferreira,-0.0016144000000000002
2378141729.0,27.0,2.0,786.0,275110.0,16.38,3.6720000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,6.0,39.9,4.216,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0034665100000000008
2378141731.0,28.0,2.0,786.0,110341.0,39.9,4.216,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,7.0,38.43,7.684000000000001,,,,,,,,,15.0,Juan Delgado,False,Estoril,Pacos de Ferreira,0.0
2378141733.0,29.0,2.0,786.0,121675.0,38.43,7.684000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Length', 'PassEndY', 'Zone', 'Angle']","[91, 120, 29, 36, 37, 216, 218]",True,8.0,58.065,10.472000000000001,,,,,,,,,22.0,Luiz Carlos,True,Estoril,Pacos de Ferreira,0.004855460000000001
2378141735.0,23.0,2.0,2188.0,421890.0,42.945,53.992,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,9.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141737.0,24.0,2.0,2188.0,421890.0,45.045,56.57600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,11.0,57.645,66.096,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0008905599999999986
2378141739.0,25.0,2.0,2188.0,105928.0,58.38,66.84400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,13.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141749.0,31.0,2.0,786.0,275110.0,50.295,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'ThrowIn', 'PassEndX', 'PassEndY']","[91, 212, 35, 37, 216]",True,24.0,46.515,6.868000000000001,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0
2378141751.0,32.0,2.0,786.0,422245.0,46.515,5.372000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,25.0,46.095,2.3800000000000003,,,,,,,,,26.0,Rui Pires,False,Estoril,Pacos de Ferreira,0.0
2378141755.0,33.0,2.0,786.0,275110.0,46.095,2.3800000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'PassEndX']","[91, 118, 120, 29, 35, 37, 216, 218]",True,26.0,45.045,23.052,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0018078399999999998
2378141753.0,27.0,2.0,2188.0,329403.0,62.370000000000005,48.824,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,27.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141757.0,28.0,2.0,2188.0,329403.0,63.945,42.024,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,30.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141761.0,34.0,2.0,786.0,23621.0,36.435,43.452000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,32.0,,,,,,,,,,,5.0,Antunes,,Estoril,Pacos de Ferreira,
2378141763.0,35.0,2.0,786.0,23621.0,36.75,42.16,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",MissedShots,Successful,"['Zone', 'RegularPlay', 'BlockedX', 'StandingSave', 'GoalMouthZ', 'MissRight', 'ThirtyFivePlusCentre', 'GoalMouthY', 'BlockedY', 'LeftFoot']","[91, 7, 10, 2, 3, 13]",True,33.0,,,92.7,37.5,16.7,31.6,True,,,,5.0,Antunes,,Estoril,Pacos de Ferreira,
2378141765.0,29.0,2.0,2188.0,331191.0,9.765,41.82,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,37.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141769.0,30.0,2.0,2188.0,331191.0,9.66,42.364000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'Angle', 'Zone', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,39.0,23.31,19.992000000000004,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0006024800000000007
2378141777.0,31.0,2.0,2188.0,356232.0,25.30500000000001,17.408,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,43.0,29.294999999999998,7.072000000000001,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.0002364500000000009
2378141779.0,32.0,2.0,2188.0,421891.0,38.32500000000001,12.24,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,49.0,31.290000000000006,17.34,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.0010425699999999996
2378141789.0,33.0,2.0,2188.0,356232.0,41.475,22.1,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'PassEndY', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,55.0,44.625,40.732,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-6.527999999999916e-05
2378141791.0,34.0,2.0,2188.0,421890.0,57.225,49.16400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,59.0,69.405,64.396,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0005946400000000004
2378141793.0,35.0,3.0,2188.0,105928.0,69.3,63.58000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,2.0,67.095,51.00000000000002,,,,,,,,,,,False,Estoril,Pacos de Ferreira,0.0012528699999999997
2378141795.0,36.0,3.0,2188.0,333315.0,64.26000000000002,52.7,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,4.0,50.714999999999996,51.952000000000005,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.004858069999999999
2378141803.0,37.0,3.0,2188.0,421890.0,53.97,48.348000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,6.0,50.61000000000002,29.716000000000005,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.0020099799999999998
2378141807.0,38.0,3.0,2188.0,356232.0,63.73500000000002,19.856,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,11.0,68.355,3.128000000000001,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.0019007200000000016
2378141813.0,39.0,3.0,2188.0,421891.0,63.315,4.216,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,14.0,44.20500000000001,7.412000000000001,,,,,,,,,,,False,Estoril,Pacos de Ferreira,-0.0061879299999999995
2378141815.0,40.0,3.0,2188.0,356232.0,51.45,17.34,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Chipped', 'Longball', 'StandingSave', 'Angle', 'Zone', 'PassEndY']","[91, 120, 124, 128, 36, 37, 217, 218]",True,24.0,89.565,34.476000000000006,,,,,,,,,,,True,Estoril,Pacos de Ferreira,0.09375974
2378141817.0,36.0,3.0,786.0,364187.0,15.54,33.864,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,27.0,,,,,,,,,,,13.0,André Ferreira,,Estoril,Pacos de Ferreira,
2378141823.0,37.0,3.0,786.0,364187.0,15.435,32.43600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle', 'StandingSave', 'KeeperThrow']","[91, 36, 38, 215, 218]",True,28.0,25.095,7.48,,,,,,,,,13.0,André Ferreira,False,Estoril,Pacos de Ferreira,-0.002378680000000001
,,3.0,,275110.0,25.095,7.48,,,Carry,,,,,28.0,33.705000000000005,8.976000000000003,,,,,,,,,29.0,Fernando Fonseca,False,Estoril,Pacos de Ferreira,0.0021463600000000017
