id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2378141613.0,2.0,0.0,2188.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141611.0,2.0,0.0,786.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378151553.0,698.0,0.0,2188.0,,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378151557.0,719.0,0.0,786.0,,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378138767.0,1.0,0.0,786.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'TeamPlayerFormation', 'TeamFormation', 'CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers']",[],False,0.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378138769.0,1.0,0.0,2188.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation']",[],False,0.0,,,,,,,,,,,,,,Estoril,Pacos de Ferreira,
2378141615.0,3.0,0.0,786.0,131384.0,53.23500000000002,32.776,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'StandingSave', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,0.0,39.27000000000001,34.34000000000001,,,,,,,,,10.0,Denilson,False,Estoril,Pacos de Ferreira,-0.004268819999999998
2378141617.0,4.0,0.0,786.0,422245.0,39.27000000000001,34.34000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,2.0,31.290000000000006,18.156000000000002,,,,,,,,,26.0,Rui Pires,False,Estoril,Pacos de Ferreira,-0.00152184
,,0.0,,423078.0,31.290000000000006,18.156000000000002,,,Carry,,,,,2.0,33.6,19.584000000000003,,,,,,,,,3.0,Nuno Lima,False,Estoril,Pacos de Ferreira,0.0
2378141619.0,5.0,0.0,786.0,423078.0,33.6,19.584000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,4.0,25.41,41.34400000000001,,,,,,,,,3.0,Nuno Lima,False,Estoril,Pacos de Ferreira,-0.0009391300000000016
,,0.0,,322640.0,25.41,41.34400000000001,,,Carry,,,,,4.0,26.775000000000002,45.96800000000002,,,,,,,,,2.0,Marco Baixinho,False,Estoril,Pacos de Ferreira,-0.00015244999999999842
2378141621.0,6.0,0.0,786.0,322640.0,26.775000000000002,45.96800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,7.0,29.82,66.028,,,,,,,,,2.0,Marco Baixinho,False,Estoril,Pacos de Ferreira,-0.0002364500000000009
,,0.0,,23621.0,29.82,66.028,,,Carry,,,,,7.0,32.13000000000001,66.16400000000002,,,,,,,,,5.0,Antunes,False,Estoril,Pacos de Ferreira,0.0
