id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379353355.0,3.0,0.0,30.0,786.0,65.415,65.62,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['OtherBodyPart', 'Zone']","[91, 101, 56]",True,23621.0,,,,,,,,,,,,,5.0,Antunes,,Pacos de Ferreira,Portimonense,
2379353621.0,12.0,0.0,43.0,1463.0,48.195,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Longball', 'Zone', 'PassEndY', 'ThrowIn', 'Length', 'PassEndX']","[91, 212, 36, 37, 216]",True,302332.0,67.095,23.732,,,,,,,,,,,,,True,Pacos de Ferreira,Portimonense,0.0068678800000000016
2379353619.0,5.0,0.0,46.0,786.0,38.010000000000005,40.188,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,373655.0,,,,,,,,,,,,,23.0,Lucas Silva,,Pacos de Ferreira,Portimonense,
2379353663.0,6.0,0.0,47.0,786.0,36.855,39.916,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,373655.0,24.885,45.56,,,,,,,,,,,23.0,Lucas Silva,False,Pacos de Ferreira,Portimonense,-0.00261342
2379353683.0,7.0,0.0,49.0,786.0,24.885,45.56,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Longball', 'Zone', 'StandingSave', 'Length', 'PassEndX', 'Angle']","[91, 120, 128, 36, 38, 217, 218]",True,23621.0,72.87,17.544,,,,,,,,,,,5.0,Antunes,True,Pacos de Ferreira,Portimonense,0.014109359999999998
2379353767.0,13.0,0.0,51.0,1463.0,40.74,51.816,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,342696.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379353817.0,14.0,0.0,55.0,1463.0,41.265,51.272000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,342696.0,34.755,21.488000000000003,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.0010425699999999996
2379353843.0,8.0,0.0,57.0,786.0,62.16,42.976000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']",[55],False,422245.0,,,,,,,,,,,,,26.0,Rui Pires,,Pacos de Ferreira,Portimonense,
2379353905.0,16.0,0.0,57.0,1463.0,42.84,25.024,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 54]",True,342697.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379353825.0,15.0,0.0,57.0,1463.0,33.6,20.332000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone', 'StandingSave', 'OppositeRelatedEvent']","[91, 117, 30, 36, 37, 216, 218]",True,360107.0,40.425,23.868,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,0.0015871199999999992
2379353913.0,9.0,1.0,2.0,786.0,48.405,55.35200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 60]",True,422245.0,,,,,,,,,,,,,26.0,Rui Pires,,Pacos de Ferreira,Portimonense,
2379353919.0,17.0,1.0,2.0,1463.0,54.075,15.708000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['OppositeRelatedEvent', 'PassEndY', 'Zone', 'Angle', 'StandingSave', 'Length', 'Offensive', 'PassEndX']","[91, 120, 29, 36, 38, 216, 218]",True,342697.0,55.86000000000002,15.3,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,0.0
2379354159.0,19.0,1.0,11.0,1463.0,55.44,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ThrowIn', 'Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 212, 36, 37, 217]",True,302332.0,74.13,4.08,,,,,,,,,,,,,True,Pacos de Ferreira,Portimonense,0.006485330000000001
2379354169.0,20.0,1.0,12.0,1463.0,73.605,3.3320000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'OtherBodyPart', 'Zone']","[91, 69]",True,383619.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379354381.0,12.0,1.0,31.0,786.0,27.615000000000002,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'ThrowIn', 'Zone']","[91, 212, 36, 38, 215]",True,23621.0,29.19,60.452000000000005,,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Portimonense,0.0013280500000000008
2379354405.0,13.0,1.0,32.0,786.0,29.19,60.452000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'Zone', 'OtherBodyPart']","[91, 117, 30, 35, 37, 215, 218]",True,384889.0,20.895,64.464,,,,,,,,,,,77.0,Nuno Santos,False,Pacos de Ferreira,Portimonense,-0.0013280500000000008
,,1.0,32.0,,20.895,64.464,,,Carry,,,,,23621.0,23.415000000000006,62.356000000000016,,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Portimonense,0.0
2379354525.0,14.0,1.0,37.0,786.0,23.415000000000006,62.356000000000016,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,23621.0,48.405,48.824,,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Portimonense,0.005842740000000001
,,1.0,37.0,,48.405,48.824,,,Carry,,,,,131384.0,63.315,40.596,,,,,,,,,,,10.0,Denilson,True,Pacos de Ferreira,Portimonense,0.005679420000000001
2379354549.0,15.0,1.0,41.0,786.0,63.315,40.596,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX', 'Length']","[91, 120, 29, 36, 37, 217, 218]",True,131384.0,81.27000000000001,44.47200000000001,,,,,,,,,,,10.0,Denilson,True,Pacos de Ferreira,Portimonense,0.00858132
2379354567.0,22.0,1.0,43.0,1463.0,23.205,20.604000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,360107.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379354615.0,23.0,1.0,45.0,1463.0,7.35,32.232,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,310029.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379354677.0,24.0,1.0,47.0,1463.0,9.87,37.944,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['Longball', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX', 'PlayerCaughtOffside']","[91, 216]",True,310029.0,49.455000000000005,35.088,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379354783.0,16.0,1.0,47.0,786.0,40.32,30.124,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,380682.0,,,,,,,,,,,,,6.0,Maracás,,Pacos de Ferreira,Portimonense,
2379354849.0,17.0,1.0,50.0,786.0,40.845,28.696000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['FreekickTaken', 'Zone', 'Angle', 'Length', 'IndirectFreekickTaken', 'PassEndY', 'OtherBodyPart', 'PassEndX']","[91, 117, 30, 132, 35, 37, 216, 218]",True,380682.0,38.745,39.372,,,,,,,,,,,6.0,Maracás,False,Pacos de Ferreira,Portimonense,0.0
2379354881.0,18.0,1.0,59.0,786.0,38.32500000000001,38.28400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,322640.0,55.230000000000004,19.788000000000004,,,,,,,,,,,2.0,Marco Baixinho,True,Pacos de Ferreira,Portimonense,0.004229499999999999
,,1.0,59.0,,55.230000000000004,19.788000000000004,,,Carry,,,,,121675.0,48.615,18.360000000000003,,,,,,,,,,,22.0,Luiz Carlos,False,Pacos de Ferreira,Portimonense,-0.0025646799999999997
2379365677.0,11024.0,1.0,,1463.0,49.455000000000005,35.088,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,432109.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379355007.0,19.0,2.0,2.0,786.0,48.615,18.360000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,121675.0,44.20500000000001,1.4960000000000002,,,,,,,,,,,22.0,Luiz Carlos,False,Pacos de Ferreira,Portimonense,-0.0030286099999999993
,,2.0,2.0,,44.20500000000001,1.4960000000000002,,,Carry,,,,,110341.0,40.425,19.652000000000005,,,,,,,,,,,15.0,Juan Delgado,False,Pacos de Ferreira,Portimonense,0.0014290699999999993
2379355045.0,20.0,2.0,8.0,786.0,40.425,19.652000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,110341.0,25.515,18.156000000000002,,,,,,,,,,,15.0,Juan Delgado,False,Pacos de Ferreira,Portimonense,-0.002678699999999999
2379355121.0,21.0,2.0,11.0,786.0,25.515,18.428,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,380682.0,22.785,40.324,,,,,,,,,,,6.0,Maracás,False,Pacos de Ferreira,Portimonense,0.00015244999999999842
,,2.0,11.0,,22.785,40.324,,,Carry,,,,,322640.0,24.46500000000001,47.32800000000002,,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Portimonense,-0.00015244999999999842
2379355153.0,22.0,2.0,15.0,786.0,24.46500000000001,47.32800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,322640.0,27.93000000000001,65.07600000000001,,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Portimonense,-0.0015645000000000017
,,2.0,15.0,,27.93000000000001,65.07600000000001,,,Carry,,,,,23621.0,29.50500000000001,65.62,,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Portimonense,0.0013280500000000008
2379355177.0,23.0,2.0,18.0,786.0,29.50500000000001,65.62,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Zone', 'StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 128, 36, 38, 217, 218]",True,23621.0,70.03500000000001,54.40000000000001,,,,,,,,,,,5.0,Antunes,True,Pacos de Ferreira,Portimonense,0.00892688
2379355191.0,26.0,2.0,19.0,1463.0,33.285000000000004,10.88,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,302332.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379355223.0,27.0,2.0,22.0,1463.0,35.385000000000005,17.204,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,342697.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Portimonense,
2379355215.0,24.0,2.0,22.0,786.0,63.21000000000002,57.868000000000016,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length']","[91, 120, 29, 36, 38, 216, 218]",True,422245.0,69.51,50.048000000000016,,,,,,,,,,,26.0,Rui Pires,False,Pacos de Ferreira,Portimonense,0.0006478500000000019
2379355289.0,28.0,2.0,24.0,1463.0,34.965,20.06,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,342697.0,46.30500000000002,30.668000000000003,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,0.003741359999999999
2379355319.0,29.0,2.0,26.0,1463.0,45.464999999999996,32.300000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,116103.0,34.65,51.40800000000002,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.004251079999999999
2379355371.0,30.0,2.0,29.0,1463.0,34.755,51.00000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,342696.0,38.955000000000005,45.15200000000001,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,0.002096839999999999
2379355435.0,31.0,2.0,30.0,1463.0,35.805,46.92,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,116103.0,8.82,40.868,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.0016940600000000007
2379355463.0,32.0,2.0,32.0,1463.0,8.19,40.868,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle', 'Longball']","[91, 117, 127, 36, 38, 215, 218]",True,310029.0,18.69,9.588000000000001,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.0006246700000000008
2379355509.0,33.0,2.0,35.0,1463.0,19.215,7.548,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Longball']","[91, 120, 124, 128, 36, 38, 217, 218]",True,360107.0,70.56,6.800000000000002,,,,,,,,,,,,,True,Pacos de Ferreira,Portimonense,0.00965444
2379355555.0,25.0,2.0,39.0,786.0,28.77,64.396,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Length', 'PassEndX', 'Zone', 'Angle', 'StandingSave', 'PassEndY']","[91, 94, 95, 216]",True,322640.0,46.935,68.0,,,,,,,,,,,2.0,Marco Baixinho,,Pacos de Ferreira,Portimonense,
2379355717.0,35.0,2.0,51.0,1463.0,67.935,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'ThrowIn', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 212, 36, 37, 217]",True,302332.0,76.125,12.308000000000002,,,,,,,,,,,,,True,Pacos de Ferreira,Portimonense,0.0065646099999999985
2379355787.0,36.0,2.0,54.0,1463.0,77.175,11.22,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Angle', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,345275.0,78.22500000000002,3.3320000000000003,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.0027939199999999983
2379355897.0,37.0,2.0,57.0,1463.0,74.235,9.180000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,383619.0,66.36,19.244000000000003,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.004663889999999997
2379355909.0,38.0,3.0,5.0,1463.0,61.11000000000002,1.4280000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,116103.0,40.215,7.956000000000002,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,-0.0034732899999999987
2379355957.0,39.0,3.0,7.0,1463.0,41.37,7.752000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[91, 118, 120, 29, 36, 38, 216, 218]",True,360107.0,46.62,5.372000000000001,,,,,,,,,,,,,False,Pacos de Ferreira,Portimonense,0.0012207699999999995
2379355973.0,27.0,3.0,8.0,786.0,63.525000000000006,61.744,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,384889.0,,,,,,,,,,,,,77.0,Nuno Santos,,Pacos de Ferreira,Portimonense,
,,3.0,8.0,,63.52500000000001,61.744,,,Carry,,,,,384889.0,66.15,63.036000000000016,,,,,,,,,,,77.0,Nuno Santos,False,Pacos de Ferreira,Portimonense,0.0
