id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,isGoal,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2555301037.0,343.0,1.0,7.0,288,69.615,63.988,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 70]",True,372828.0,,,,,,,,,,,,,,,Braga,Pacos de Ferreira,
2555267559.0,13.0,1.0,8.0,786,35.385000000000005,4.0120000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['StandingSave', 'Defensive', 'OppositeRelatedEvent', 'Zone']","[91, 143]",True,422245.0,,,,,,,,,,,,26.0,Rui Pires,,Braga,Pacos de Ferreira,
,,1.0,8.0,786,35.385000000000005,4.0120000000000005,,,Carry,,,,,422245.0,39.69,2.788,,,,,,,,,,26.0,Rui Pires,False,Braga,Pacos de Ferreira,0.0
2555267605.0,14.0,1.0,9.0,786,39.69,2.788,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'Zone', 'StandingSave', 'PassEndX', 'Length', 'PassEndY']","[91, 94, 95, 216]",True,422245.0,42.63,0.0,,,,,,,,,,26.0,Rui Pires,,Braga,Pacos de Ferreira,
2555267785.0,21.0,1.0,17.0,288,58.48500000000001,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'ThrowIn', 'Angle', 'PassEndY', 'Length']","[91, 212, 35, 38, 216]",True,439440.0,42.42,57.596000000000004,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.002588769999999999
2555267803.0,22.0,1.0,18.0,288,43.575,55.964,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,81928.0,39.58500000000001,24.888,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0005445499999999995
2555267911.0,23.0,1.0,21.0,288,39.795,23.46,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Angle', 'PassEndY', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,83475.0,62.370000000000005,1.564,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.004758859999999997
2555267935.0,24.0,1.0,25.0,288,58.800000000000004,2.788,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Length', 'Zone', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,384566.0,64.78500000000001,1.564,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0027146399999999973
2555267991.0,25.0,1.0,27.0,288,62.79,2.176,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 35, 37, 216, 218]",True,444806.0,54.6,6.0520000000000005,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.0027146399999999973
2555268087.0,26.0,1.0,31.0,288,49.665,11.084000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,381792.0,40.214999999999996,39.236000000000004,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.00121894
2555268147.0,27.0,1.0,34.0,288,42.0,45.900000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,422882.0,49.875,62.15200000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.0002082999999999998
2555268233.0,28.0,1.0,36.0,288,49.875,62.15200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 37, 216, 218]",True,81928.0,59.115,63.648,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.002252519999999999
2556434991.0,868.0,1.0,38.0,288,62.160000000000004,64.05600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 70]",True,117980.0,,,,,,,,,,,,,,,Braga,Pacos de Ferreira,
2556435045.0,825.0,1.0,39.0,786,42.839999999999996,3.944,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Defensive']","[91, 142]",True,110341.0,,,,,,,,,,,,15.0,Juan Delgado,,Braga,Pacos de Ferreira,
