id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2512268095.0,2.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Maritimo,Santa Clara,
2512268081.0,2.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Maritimo,Santa Clara,
2512361755.0,1046.0,0.0,0.0,264,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Maritimo,Santa Clara,
2512361775.0,668.0,0.0,0.0,251,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Maritimo,Santa Clara,
2512232635.0,1.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,,Maritimo,Santa Clara,
2512236659.0,1.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,,Maritimo,Santa Clara,
2512268127.0,3.0,0.0,0.0,264,52.605000000000004,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,371582.0,29.400000000000002,23.392,,,,,,,,,,,9.0,Pablo Moreno,False,Maritimo,Santa Clara,-0.005790659999999998
2512268145.0,4.0,0.0,1.0,264,29.400000000000002,23.392,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,137058.0,36.015,8.228,,,,,,,,,,,5.0,Zainadine Júnior,False,Maritimo,Santa Clara,-0.0013280300000000009
2512268219.0,5.0,0.0,4.0,264,35.805,8.228,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Longball', 'PassEndX', 'Angle', 'Zone', 'StandingSave']","[91, 117, 127, 36, 37, 216, 218]",True,101952.0,38.85,40.800000000000004,,,,,,,,,,,2.0,Claudio Winck,False,Maritimo,Santa Clara,0.0013637900000000001
,,0.0,4.0,264,38.85,40.800000000000004,,,Carry,,,,,436558.0,49.14,37.536,,,,,,,,,,,8.0,Val,True,Maritimo,Santa Clara,0.002219519999999999
