id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2545398807.0,2.0,0.0,2899,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Vizela,
2545398799.0,3.0,0.0,107,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Vizela,
2545458591.0,853.0,0.0,2899,,0.0,0.0,17.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Vizela,
2545458607.0,802.0,0.0,107,,0.0,0.0,17.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Vizela,
2545343637.0,1.0,0.0,2899,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'JerseyNumber', 'InvolvedPlayers', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition']",[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Vizela,
2545344425.0,1.0,0.0,107,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'PlayerPosition', 'TeamFormation']",[],False,0.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Vizela,
2545398825.0,4.0,0.0,107,135638.0,52.71000000000001,34.272,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,0.0,47.25,32.232,,,,,,,,,,,,False,Vitoria de Guimaraes,Vizela,-0.0020492999999999987
2545398831.0,5.0,0.0,107,422205.0,47.25,32.028000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Zone', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 127, 36, 37, 216, 218]",True,1.0,52.185,64.53200000000001,,,,,,,,,,,,False,Vitoria de Guimaraes,Vizela,-0.0023625399999999998
2545398855.0,7.0,0.0,107,135638.0,56.385000000000005,51.34,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'OppositeRelatedEvent']","[91, 120, 29, 35, 37, 216, 218]",True,6.0,53.13,51.61200000000001,,,,,,,,,,,,False,Vitoria de Guimaraes,Vizela,
2545398849.0,6.0,0.0,107,447235.0,51.135000000000005,59.228,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,6.0,56.385000000000005,51.34,,,,,,,,,,,,False,Vitoria de Guimaraes,Vizela,0.0022727300000000006
