id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2481813027.0,2.0,0.0,0.0,2899,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Arouca,
2481813011.0,2.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Arouca,
2481968061.0,909.0,0.0,0.0,5948,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Arouca,
2481968075.0,839.0,0.0,0.0,2899,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Arouca,
2481758723.0,1.0,0.0,0.0,5948,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Vizela,Arouca,
2481758817.0,1.0,0.0,0.0,2899,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'InvolvedPlayers', 'PlayerPosition', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Vizela,Arouca,
2481813077.0,3.0,0.0,0.0,5948,52.395,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,423912.0,41.79,27.812,,,,,,,,,,,,False,Vizela,Arouca,-0.002219519999999999
2481813143.0,4.0,0.0,2.0,5948,41.475,27.132,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,36712.0,40.53,6.188000000000001,,,,,,,,,,,,False,Vizela,Arouca,-0.0013637900000000001
2481813231.0,5.0,0.0,4.0,5948,40.53,6.188000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Longball', 'Length', 'Angle', 'PassEndX']","[91, 117, 127, 35, 37, 215, 218]",True,383609.0,26.46,45.356,,,,,,,,,,,,False,Vizela,Arouca,-0.0012496299999999998
2481813313.0,6.0,0.0,7.0,5948,27.51,45.356,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,382364.0,38.745,39.440000000000005,,,,,,,,,,,,False,Vizela,Arouca,0.00152184
2481813481.0,7.0,0.0,11.0,5948,38.64,42.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Angle', 'Chipped', 'PassEndY', 'Longball', 'Length', 'Zone']","[91, 120, 124, 128, 36, 37, 217, 218]",True,36712.0,96.495,55.556000000000004,,,,,,,,,,,,True,Vizela,Arouca,
2481813489.0,3.0,0.0,13.0,2899,7.7700000000000005,7.82,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,355152.0,,,,,,,,,,,,7.0,Carlos Isaac,,Vizela,Arouca,
,,0.0,13.0,2899,7.7700000000000005,7.82,,,Carry,,,,,355152.0,7.665,5.304,,,,,,,,,,7.0,Carlos Isaac,False,Vizela,Arouca,0.0
2481813631.0,4.0,0.0,16.0,2899,7.665,5.304,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,355152.0,31.919999999999998,0.0,,,,,,,,,,7.0,Carlos Isaac,False,Vizela,Arouca,0.0033935600000000003
,,0.0,16.0,2899,31.919999999999998,0.0,,,Carry,,,,,421844.0,31.185000000000002,4.148,,,,,,,,,,19.0,Alex Méndez,False,Vizela,Arouca,0.0
2481813867.0,6.0,0.0,18.0,2899,31.185000000000002,4.148,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,421844.0,,,,,,,,,,,,19.0,Alex Méndez,,Vizela,Arouca,
2481814353.0,8.0,0.0,41.0,2899,22.575,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'ThrowIn', 'PassEndY', 'Longball', 'Length', 'PassEndX']","[91, 212, 36, 37, 216]",True,355152.0,41.265,11.22,,,,,,,,,,7.0,Carlos Isaac,False,Vizela,Arouca,
2481814395.0,10.0,0.0,43.0,5948,55.230000000000004,43.86000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'HeadPass', 'Length', 'Zone', 'PassEndY']","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,397094.0,66.885,46.104,,,,,,,,,,,,True,Vizela,Arouca,0.002495360000000002
2481814403.0,11.0,0.0,44.0,5948,70.875,46.104,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 29, 36, 37, 217, 218]",True,431222.0,76.54500000000002,54.128,,,,,,,,,,,,False,Vizela,Arouca,
2481814529.0,9.0,0.0,45.0,2899,35.805,6.664000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Chipped', 'Length', 'StandingSave', 'Longball', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 124, 128, 36, 38, 217, 218]",True,355152.0,87.675,0.0,,,,,,,,,,7.0,Carlos Isaac,True,Vizela,Arouca,
2481814901.0,13.0,1.0,2.0,5948,34.02,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'ThrowIn', 'Longball', 'PassEndX', 'Length', 'PassEndY', 'Angle']","[91, 212, 36, 38, 216]",True,416502.0,59.115,62.424,,,,,,,,,,,,True,Vizela,Arouca,
2481814943.0,11.0,1.0,4.0,2899,44.94,3.604,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'Angle', 'PassEndY', 'PassEndX', 'Zone', 'Length']","[91, 120, 29, 139, 36, 38, 216, 218]",True,355152.0,61.95,0.0,,,,,,,,,,7.0,Carlos Isaac,False,Vizela,Arouca,
